행정동,지하철역_갯수
0,257
가락1동,2
가락2동,2
가락본동,1
가리봉동,1
가산동,2
가양1동,3
가양2동,1
가양3동,1
가회동,1
갈현1동,1
갈현2동,1
강일동,1
개봉1동,1
개봉2동,1
개봉3동,1
개포1동,1
개포2동,3
개포3동,1
개포4동,1
거여1동,1
거여2동,1
고덕1동,1
고덕2동,1
고척1동,1
고척2동,1
공덕동,1
공릉1동,2
공릉2동,1
공항동,2
광장동,1
광희동,1
교남동,1
구로1동,1
구로2동,1
구로3동,2
구로4동,1
구로5동,1
구산동,1
구의1동,1
구의2동,1
구의3동,1
군자동,1
금호1가동,1
금호2·3가동 ,1
금호4가동,1
길동,1
길음1동,1
길음2동,1
낙성대동,1
난곡동,1
난향동,1
남가좌1동,1
남가좌2동,1
남영동,3
남현동,1
내곡동,1
노량진1동,2
노량진2동,1
녹번동,2
논현1동,2
논현2동,3
능동,2
다산동,2
답십리1동,1
답십리2동,1
당산1동,1
당산2동,1
대림1동,1
대림2동,1
대림3동,1
대방동,2
대조동,2
대치1동,1
대치2동,4
대치4동,1
대학동,1
대흥동,3
도곡1동,1
도곡2동,2
도림동,1
도봉1동,1
도봉2동,2
도화동,1
독산1동,1
독산2동,1
독산3동,1
독산4동,1
돈암1동,1
돈암2동,1
동선동,1
동화동,1
둔촌1동,2
둔촌2동,1
등촌1동,1
등촌2동,1
등촌3동,1
마장동,1
마천1동,1
마천2동,1
망우3동,1
망우본동,2
망원1동,1
망원2동,1
면목2동,1
면목3·8동 ,1
면목4동,1
면목5동,1
면목7동,1
면목본동,1
명동,1
명일1동,1
명일2동,1
목1동,2
목2동,2
목3동,1
목4동,1
목5동,1
무악동,1
묵1동,1
묵2동,1
문래동,1
문정1동,1
문정2동,2
미성동,1
미아동,1
반포1동,2
반포2동,1
반포3동,1
반포4동,1
반포본동,1
발산1동,1
방배1동,1
방배2동,1
방배3동,1
방배4동,1
방배본동,1
방이1동,1
방이2동,1
방학1동,1
방학2동,1
방학3동,1
방화1동,2
방화2동,3
방화3동,1
번1동,1
번2동,1
번3동,1
보광동,1
보라매,1
보문동,1
부암동,1
북가좌1동,1
북가좌2동,1
북아현동,1
불광1동,1
불광2동,1
사근동,2
사당1동,2
사당2동,2
사당3동,1
사당4동,1
사당5동,1
사직동,2
삼각산동,1
삼선동,2
삼성1동,2
삼성2동,2
삼성동,1
삼양동,3
삼전동,1
삼청동,1
상계10동,1
상계1동,1
상계2동,1
상계3·4동,1
상계5동,1
상계6·7동,1
상계8동,1
상계9동,1
상도1동,2
상도2동,1
상도3동,1
상도4동,1
상봉1동,2
상봉2동,1
상암동,1
상일1동,1
상일2동,1
서강동,2
서교동,2
서림동,1
서빙고동,1
서원동,2
서초1동,1
서초2동,2
서초3동,3
서초4동,1
석관동,1
석촌동,2
성내1동,1
성내2동,2
성내3동,1
성북동,1
성산1동,1
성산2동,2
성수1가1동,1
성수1가2동,1
성수2가1동 ,1
성수2가3동,1
성현동,1
세곡동,1
소공동,2
송정동,1
송중동,1
송천동,1
송파1동,1
송파2동,1
수궁동,1
수색동,2
수서동,1
수유1동,1
수유2동,1
수유3동,1
숭인1동,1
