행정동,년분기,지하철역_갯수,총승하차인원_합계,지하철역_목록,시군구,총_승객수
가락1동,20191,2,0.0,"송파, 가락시장",,
가락1동,20192,2,0.0,"송파, 가락시장",,
가락1동,20193,2,0.0,"가락시장, 송파",,
가락1동,20194,2,0.0,"가락시장, 송파",,
가락1동,20201,2,0.0,"송파, 가락시장",,
가락1동,20202,2,0.0,"송파, 가락시장",,
가락1동,20203,2,0.0,"가락시장, 송파",,
가락1동,20204,2,0.0,"송파, 가락시장",,
가락1동,20211,2,3591263.0,"가락시장, 송파",,
가락1동,20212,2,3875940.0,"가락시장, 송파",,
가락1동,20213,2,3395843.0,"가락시장, 송파",,
가락1동,20214,2,3838931.0,"가락시장, 송파",,
가락2동,20191,2,0.0,"경찰병원, 개롱",,
가락2동,20192,2,0.0,"경찰병원, 개롱",,
가락2동,20193,2,0.0,"개롱, 경찰병원",,
가락2동,20194,2,0.0,"개롱, 경찰병원",,
가락2동,20201,2,0.0,"개롱, 경찰병원",,
가락2동,20202,2,0.0,"개롱, 경찰병원",,
가락2동,20203,2,0.0,"개롱, 경찰병원",,
가락2동,20204,2,0.0,"경찰병원, 개롱",,
가락2동,20211,2,1969639.0,"경찰병원, 개롱",,
가락2동,20212,2,2175749.0,"경찰병원, 개롱",,
가락2동,20213,2,1950525.0,"경찰병원, 개롱",,
가락2동,20214,2,2174233.0,"경찰병원, 개롱",,
가락본동,20191,1,0.0,오금,,
가락본동,20192,1,0.0,오금,,
가락본동,20193,1,0.0,오금,,
가락본동,20194,1,0.0,오금,,
가락본동,20201,1,0.0,오금,,
가락본동,20202,1,0.0,오금,,
가락본동,20203,1,0.0,오금,,
가락본동,20204,1,0.0,오금,,
가락본동,20211,1,508959.0,오금,,
가락본동,20212,1,584980.0,오금,,
가락본동,20213,1,521014.0,오금,,
가락본동,20214,1,584247.0,오금,,
가리봉동,0,1,0.0,0,,
가산동,20191,2,0.0,"독산, 가산디지털단지",,
가산동,20192,2,0.0,"독산, 가산디지털단지",,
가산동,20193,2,0.0,"가산디지털단지, 독산",,
가산동,20194,2,0.0,"가산디지털단지, 독산",,
가산동,20201,2,0.0,"가산디지털단지, 독산",,
가산동,20202,2,0.0,"독산, 가산디지털단지",,
가산동,20203,2,0.0,"가산디지털단지, 독산",,
가산동,20204,2,0.0,"독산, 가산디지털단지",,
가산동,20211,2,11084614.0,"가산디지털단지, 독산",,
가산동,20212,2,12268260.0,"독산, 가산디지털단지",,
가산동,20213,2,10910267.0,"가산디지털단지, 독산",,
가산동,20214,2,12317625.0,"가산디지털단지, 독산",,
가양1동,0,1,0.0,마곡나루,,
가양1동,20191,3,0.0,"마곡, 마곡나루, 양천향교",,
가양1동,20192,3,0.0,"양천향교, 마곡나루, 마곡",,
가양1동,20193,3,0.0,"마곡나루, 마곡, 양천향교",,
가양1동,20194,3,0.0,"마곡, 마곡나루, 양천향교",,
가양1동,20201,3,0.0,"양천향교, 마곡나루, 마곡",,
가양1동,20202,2,0.0,"마곡, 양천향교",,
가양1동,20203,2,0.0,"마곡, 양천향교",,
가양1동,20204,2,0.0,"양천향교, 마곡",,
가양1동,20211,2,2610848.0,"마곡, 양천향교",,
가양1동,20212,2,3040373.0,"마곡, 양천향교",,
가양1동,20213,2,2703457.0,"양천향교, 마곡",,
가양1동,20214,2,3099786.0,"양천향교, 마곡",,
가양2동,0,1,0.0,0,,
가양3동,0,1,0.0,0,,
가회동,0,1,0.0,0,,
갈현1동,0,1,0.0,0,,
갈현2동,20191,1,0.0,구산,,
갈현2동,20192,1,0.0,구산,,
갈현2동,20193,1,0.0,구산,,
갈현2동,20194,1,0.0,구산,,
갈현2동,20201,1,0.0,구산,,
갈현2동,20202,1,0.0,구산,,
갈현2동,20203,1,0.0,구산,,
갈현2동,20204,1,0.0,구산,,
갈현2동,20211,1,927742.0,구산,,
갈현2동,20212,1,1063162.0,구산,,
갈현2동,20213,1,976774.0,구산,,
갈현2동,20214,1,1079537.0,구산,,
강일동,0,1,0.0,강일,,
강일동,20211,1,54506.0,강일,,
강일동,20212,1,1017842.0,강일,,
강일동,20213,1,954528.0,강일,,
강일동,20214,1,1196446.0,강일,,
개봉1동,20191,1,0.0,개봉,,
개봉1동,20192,1,0.0,개봉,,
개봉1동,20193,1,0.0,개봉,,
개봉1동,20194,1,0.0,개봉,,
개봉1동,20201,1,0.0,개봉,,
개봉1동,20202,1,0.0,개봉,,
개봉1동,20203,1,0.0,개봉,,
개봉1동,20204,1,0.0,개봉,,
개봉1동,20211,1,3107827.0,개봉,,
개봉1동,20212,1,3500467.0,개봉,,
개봉1동,20213,1,3130324.0,개봉,,
개봉1동,20214,1,3470114.0,개봉,,
개봉2동,0,1,0.0,0,,
개봉3동,0,1,0.0,0,,
개포1동,0,1,0.0,0,,
개포2동,20191,3,0.0,"구룡, 대모산입구, 개포동",,
개포2동,20192,3,0.0,"대모산입구, 개포동, 구룡",,
개포2동,20193,3,0.0,"대모산입구, 구룡, 개포동",,
개포2동,20194,3,0.0,"개포동, 구룡, 대모산입구",,
개포2동,20201,3,0.0,"구룡, 대모산입구, 개포동",,
개포2동,20202,3,0.0,"개포동, 구룡, 대모산입구",,
개포2동,20203,3,0.0,"구룡, 개포동, 대모산입구",,
개포2동,20204,3,0.0,"구룡, 개포동, 대모산입구",,
개포2동,20211,3,1229241.0,"구룡, 대모산입구, 개포동",,
개포2동,20212,3,1458413.0,"대모산입구, 구룡, 개포동",,
개포2동,20213,3,1313433.0,"개포동, 구룡, 대모산입구",,
개포2동,20214,3,1610420.0,"개포동, 대모산입구, 구룡",,
개포3동,20191,1,0.0,대청,,
개포3동,20192,1,0.0,대청,,
개포3동,20193,1,0.0,대청,,
개포3동,20194,1,0.0,대청,,
개포3동,20201,1,0.0,대청,,
개포3동,20202,1,0.0,대청,,
개포3동,20203,1,0.0,대청,,
개포3동,20204,1,0.0,대청,,
개포3동,20211,1,1285359.0,대청,,
