사용월,호선명_x,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,작업일자,호선명_y,구,동,구_동,총승하차인원,월,분기
201912,우이신설선,4.19민주묘지,61832,32442,59882,30206,20200103,우이신설선,강북구,우이동,강북구_우이동,184362,12,4분기
201911,우이신설선,4.19민주묘지,74480,32496,74086,30133,20191203,우이신설선,강북구,우이동,강북구_우이동,211195,11,4분기
201910,우이신설선,4.19민주묘지,77817,35133,76453,32335,20191103,우이신설선,강북구,우이동,강북구_우이동,221738,10,4분기
201909,우이신설선,4.19민주묘지,71959,31068,70973,28508,20191003,우이신설선,강북구,우이동,강북구_우이동,202508,9,3분기
201908,우이신설선,4.19민주묘지,50245,32013,47766,29384,20190903,우이신설선,강북구,우이동,강북구_우이동,159408,8,3분기
201907,우이신설선,4.19민주묘지,52129,33256,50333,30355,20190803,우이신설선,강북구,우이동,강북구_우이동,166073,7,3분기
201906,우이신설선,4.19민주묘지,63300,34191,61378,30373,20221216,우이신설선,강북구,우이동,강북구_우이동,189242,6,2분기
201905,우이신설선,4.19민주묘지,85656,35103,84854,32252,20190603,우이신설선,강북구,우이동,강북구_우이동,237865,5,2분기
201904,우이신설선,4.19민주묘지,81420,33394,82259,30651,20190503,우이신설선,강북구,우이동,강북구_우이동,227724,4,2분기
201903,우이신설선,4.19민주묘지,81515,31417,80901,28922,20190403,우이신설선,강북구,우이동,강북구_우이동,222755,3,1분기
201902,우이신설선,4.19민주묘지,43778,25232,41827,23902,20190303,우이신설선,강북구,우이동,강북구_우이동,134739,2,1분기
201901,우이신설선,4.19민주묘지,49789,28647,48250,26730,20190203,우이신설선,강북구,우이동,강북구_우이동,153416,1,1분기
201912,경원선,가능,155390,60523,143859,58404,20200103,0,0,0,0,418176,12,4분기
201911,경원선,가능,158893,60842,146949,58988,20191203,0,0,0,0,425672,11,4분기
201910,경원선,가능,167188,66272,154549,64479,20191103,0,0,0,0,452488,10,4분기
201909,경원선,가능,154494,60157,143327,58421,20191003,0,0,0,0,416399,9,3분기
201908,경원선,가능,154551,62312,143573,60695,20190903,0,0,0,0,421131,8,3분기
201907,경원선,가능,161045,64482,150041,62801,20190803,0,0,0,0,438369,7,3분기
201907,경원선,가능,161045,64482,150041,62801,20190803,0,0,0,0,438369,7,3분기
201907,경원선,가능,161045,64482,150041,62801,20190803,0,0,0,0,438369,7,3분기
201906,경원선,가능,158744,64122,147033,62978,20221216,0,0,0,0,432877,6,2분기
201905,경원선,가능,172827,67416,160195,65779,20190603,0,0,0,0,466217,5,2분기
201904,경원선,가능,167033,63472,155403,61895,20190503,0,0,0,0,447803,4,2분기
201903,경원선,가능,165598,62676,152103,61249,20190403,0,0,0,0,441626,3,1분기
201902,경원선,가능,135859,51131,123768,49657,20190303,0,0,0,0,360415,2,1분기
201901,경원선,가능,152256,58533,140676,56804,20190203,0,0,0,0,408269,1,1분기
201912,3호선,가락시장,236648,87047,231866,84866,20200103,3호선,송파구,가락1동,송파구_가락1동,640427,12,4분기
201912,3호선,가락시장,236648,87047,231866,84866,20200103,8호선,송파구,가락1동,송파구_가락1동,640427,12,4분기
201912,8호선,가락시장,199562,66534,236914,68182,20200103,3호선,송파구,가락1동,송파구_가락1동,571192,12,4분기
201912,8호선,가락시장,199562,66534,236914,68182,20200103,8호선,송파구,가락1동,송파구_가락1동,571192,12,4분기
201911,3호선,가락시장,230354,82125,226374,80598,20191203,3호선,송파구,가락1동,송파구_가락1동,619451,11,4분기
