,사용월,호선명_x,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,작업일자,호선명_y,구,동,구_동,총승하차인원,월,분기
0,202112,우이신설선,4.19민주묘지,47280,29715,45573,27003,20220103,우이신설선,강북구,우이동,강북구_우이동,149571,12,4분기
1,202111,우이신설선,4.19민주묘지,51474,31567,48888,28506,20211203,우이신설선,강북구,우이동,강북구_우이동,160435,11,4분기
2,202110,우이신설선,4.19민주묘지,47136,33743,45146,29650,20211103,우이신설선,강북구,우이동,강북구_우이동,155675,10,4분기
3,202109,우이신설선,4.19민주묘지,42324,31747,40940,27938,20211003,우이신설선,강북구,우이동,강북구_우이동,142949,9,3분기
4,202108,우이신설선,4.19민주묘지,39970,30537,39142,26783,20210903,우이신설선,강북구,우이동,강북구_우이동,136432,8,3분기
5,202107,우이신설선,4.19민주묘지,41699,29906,40672,26839,20210803,우이신설선,강북구,우이동,강북구_우이동,139116,7,3분기
6,202106,우이신설선,4.19민주묘지,48599,32042,47572,28589,20210703,우이신설선,강북구,우이동,강북구_우이동,156802,6,2분기
7,202105,우이신설선,4.19민주묘지,49538,32255,48385,28975,20210603,우이신설선,강북구,우이동,강북구_우이동,159153,5,2분기
8,202104,우이신설선,4.19민주묘지,49521,32759,48761,29552,20210503,우이신설선,강북구,우이동,강북구_우이동,160593,4,2분기
9,202103,우이신설선,4.19민주묘지,49517,31007,48657,28095,20210403,우이신설선,강북구,우이동,강북구_우이동,157276,3,1분기
10,202102,우이신설선,4.19민주묘지,37162,24158,36092,21816,20210303,우이신설선,강북구,우이동,강북구_우이동,119228,2,1분기
11,202101,우이신설선,4.19민주묘지,37020,23148,36328,21198,20210203,우이신설선,강북구,우이동,강북구_우이동,117694,1,1분기
12,202112,경원선,가능,131258,48087,124709,48055,20220103,0,0,0,0,352109,12,4분기
13,202111,경원선,가능,133487,50920,124957,51043,20211203,0,0,0,0,360407,11,4분기
14,202110,경원선,가능,128391,53138,120737,52950,20211103,0,0,0,0,355216,10,4분기
15,202109,경원선,가능,117477,49228,111054,48769,20211003,0,0,0,0,326528,9,3분기
16,202108,경원선,가능,115483,46415,110075,46009,20210903,0,0,0,0,317982,8,3분기
17,202107,경원선,가능,118619,47055,113217,46615,20210803,0,0,0,0,325506,7,3분기
18,202106,경원선,가능,130729,50619,124060,50251,20210703,0,0,0,0,355659,6,2분기
19,202105,경원선,가능,126596,50165,120250,49751,20210603,0,0,0,0,346762,5,2분기
20,202104,경원선,가능,128795,49420,122925,49466,20210503,0,0,0,0,350606,4,2분기
21,202103,경원선,가능,129029,48621,123755,48121,20210403,0,0,0,0,349526,3,1분기
22,202102,경원선,가능,102162,37771,97720,37160,20210303,0,0,0,0,274813,2,1분기
23,202101,경원선,가능,102463,36425,99414,36473,20210203,0,0,0,0,274775,1,1분기
24,202112,3호선,가락시장,171954,61759,168277,60417,20220103,3호선,송파구,가락1동,송파구_가락1동,462407,12,4분기
25,202112,3호선,가락시장,171954,61759,168277,60417,20220103,8호선,송파구,가락1동,송파구_가락1동,462407,12,4분기
26,202112,8호선,가락시장,153976,50654,175532,51417,20220103,3호선,송파구,가락1동,송파구_가락1동,431579,12,4분기
27,202112,8호선,가락시장,153976,50654,175532,51417,20220103,8호선,송파구,가락1동,송파구_가락1동,431579,12,4분기
28,202111,3호선,가락시장,172417,67430,171058,65767,20211203,3호선,송파구,가락1동,송파구_가락1동,476672,11,4분기
29,202111,3호선,가락시장,172417,67430,171058,65767,20211203,8호선,송파구,가락1동,송파구_가락1동,476672,11,4분기
30,202111,8호선,가락시장,152928,54136,176186,55472,20211203,3호선,송파구,가락1동,송파구_가락1동,438722,11,4분기
31,202111,8호선,가락시장,152928,54136,176186,55472,20211203,8호선,송파구,가락1동,송파구_가락1동,438722,11,4분기
32,202110,3호선,가락시장,155602,63909,153086,61911,20211103,3호선,송파구,가락1동,송파구_가락1동,434508,10,4분기
33,202110,3호선,가락시장,155602,63909,153086,61911,20211103,8호선,송파구,가락1동,송파구_가락1동,434508,10,4분기
34,202110,8호선,가락시장,135107,49889,154056,51232,20211103,3호선,송파구,가락1동,송파구_가락1동,390284,10,4분기
35,202110,8호선,가락시장,135107,49889,154056,51232,20211103,8호선,송파구,가락1동,송파구_가락1동,390284,10,4분기
36,202109,3호선,가락시장,140714,59534,137468,58103,20211003,3호선,송파구,가락1동,송파구_가락1동,395819,9,3분기
37,202109,3호선,가락시장,140714,59534,137468,58103,20211003,8호선,송파구,가락1동,송파구_가락1동,395819,9,3분기
38,202109,8호선,가락시장,122194,48890,138972,50191,20211003,3호선,송파구,가락1동,송파구_가락1동,360247,9,3분기
39,202109,8호선,가락시장,122194,48890,138972,50191,20211003,8호선,송파구,가락1동,송파구_가락1동,360247,9,3분기
40,202108,3호선,가락시장,143036,59352,139813,57913,20210903,3호선,송파구,가락1동,송파구_가락1동,400114,8,3분기
41,202108,3호선,가락시장,143036,59352,139813,57913,20210903,8호선,송파구,가락1동,송파구_가락1동,400114,8,3분기
42,202108,8호선,가락시장,126285,48321,143221,49995,20210903,3호선,송파구,가락1동,송파구_가락1동,367822,8,3분기
43,202108,8호선,가락시장,126285,48321,143221,49995,20210903,8호선,송파구,가락1동,송파구_가락1동,367822,8,3분기
44,202107,3호선,가락시장,153743,59706,149487,58651,20210803,3호선,송파구,가락1동,송파구_가락1동,421587,7,3분기
45,202107,3호선,가락시장,153743,59706,149487,58651,20210803,8호선,송파구,가락1동,송파구_가락1동,421587,7,3분기
46,202107,8호선,가락시장,135456,47964,153266,49259,20210803,3호선,송파구,가락1동,송파구_가락1동,385945,7,3분기
47,202107,8호선,가락시장,135456,47964,153266,49259,20210803,8호선,송파구,가락1동,송파구_가락1동,385945,7,3분기
48,202106,3호선,가락시장,172681,65052,168213,63356,20210703,3호선,송파구,가락1동,송파구_가락1동,469302,6,2분기
49,202106,3호선,가락시장,172681,65052,168213,63356,20210703,8호선,송파구,가락1동,송파구_가락1동,469302,6,2분기
50,202106,8호선,가락시장,149235,51429,169737,53090,20210703,3호선,송파구,가락1동,송파구_가락1동,423491,6,2분기
51,202106,8호선,가락시장,149235,51429,169737,53090,20210703,8호선,송파구,가락1동,송파구_가락1동,423491,6,2분기
52,202105,3호선,가락시장,163882,63227,161142,61656,20210603,3호선,송파구,가락1동,송파구_가락1동,449907,5,2분기
53,202105,3호선,가락시장,163882,63227,161142,61656,20210603,8호선,송파구,가락1동,송파구_가락1동,449907,5,2분기
54,202105,8호선,가락시장,145223,52876,164676,53949,20210603,3호선,송파구,가락1동,송파구_가락1동,416724,5,2분기
55,202105,8호선,가락시장,145223,52876,164676,53949,20210603,8호선,송파구,가락1동,송파구_가락1동,416724,5,2분기
56,202104,3호선,가락시장,172866,64762,170829,63595,20210503,3호선,송파구,가락1동,송파구_가락1동,472052,4,2분기
57,202104,3호선,가락시장,172866,64762,170829,63595,20210503,8호선,송파구,가락1동,송파구_가락1동,472052,4,2분기
58,202104,8호선,가락시장,151127,54380,172806,54777,20210503,3호선,송파구,가락1동,송파구_가락1동,433090,4,2분기
