지하철역,구,동,총승하차인원,년분기
4.19민주묘지,강북구,우이동,149571,20214
4.19민주묘지,강북구,우이동,160435,20214
4.19민주묘지,강북구,우이동,155675,20214
4.19민주묘지,강북구,우이동,142949,20213
4.19민주묘지,강북구,우이동,136432,20213
4.19민주묘지,강북구,우이동,139116,20213
4.19민주묘지,강북구,우이동,156802,20212
4.19민주묘지,강북구,우이동,159153,20212
4.19민주묘지,강북구,우이동,160593,20212
4.19민주묘지,강북구,우이동,157276,20211
4.19민주묘지,강북구,우이동,119228,20211
4.19민주묘지,강북구,우이동,117694,20211
가능,0,0,352109,20214
가능,0,0,360407,20214
가능,0,0,355216,20214
가능,0,0,326528,20213
가능,0,0,317982,20213
가능,0,0,325506,20213
가능,0,0,355659,20212
가능,0,0,346762,20212
가능,0,0,350606,20212
가능,0,0,349526,20211
가능,0,0,274813,20211
가능,0,0,274775,20211
가락시장,송파구,가락1동,462407,20214
가락시장,송파구,가락1동,462407,20214
가락시장,송파구,가락1동,431579,20214
가락시장,송파구,가락1동,431579,20214
가락시장,송파구,가락1동,476672,20214
가락시장,송파구,가락1동,476672,20214
가락시장,송파구,가락1동,438722,20214
가락시장,송파구,가락1동,438722,20214
가락시장,송파구,가락1동,434508,20214
가락시장,송파구,가락1동,434508,20214
가락시장,송파구,가락1동,390284,20214
가락시장,송파구,가락1동,390284,20214
가락시장,송파구,가락1동,395819,20213
가락시장,송파구,가락1동,395819,20213
가락시장,송파구,가락1동,360247,20213
가락시장,송파구,가락1동,360247,20213
가락시장,송파구,가락1동,400114,20213
가락시장,송파구,가락1동,400114,20213
가락시장,송파구,가락1동,367822,20213
가락시장,송파구,가락1동,367822,20213
가락시장,송파구,가락1동,421587,20213
가락시장,송파구,가락1동,421587,20213
가락시장,송파구,가락1동,385945,20213
가락시장,송파구,가락1동,385945,20213
가락시장,송파구,가락1동,469302,20212
가락시장,송파구,가락1동,469302,20212
가락시장,송파구,가락1동,423491,20212
가락시장,송파구,가락1동,423491,20212
가락시장,송파구,가락1동,449907,20212
가락시장,송파구,가락1동,449907,20212
가락시장,송파구,가락1동,416724,20212
가락시장,송파구,가락1동,416724,20212
가락시장,송파구,가락1동,472052,20212
가락시장,송파구,가락1동,472052,20212
가락시장,송파구,가락1동,433090,20212
가락시장,송파구,가락1동,433090,20212
가락시장,송파구,가락1동,484081,20211
가락시장,송파구,가락1동,484081,20211
가락시장,송파구,가락1동,445559,20211
가락시장,송파구,가락1동,445559,20211
가락시장,송파구,가락1동,393708,20211
가락시장,송파구,가락1동,393708,20211
가락시장,송파구,가락1동,370005,20211
가락시장,송파구,가락1동,370005,20211
가락시장,송파구,가락1동,397594,20211
가락시장,송파구,가락1동,397594,20211
가락시장,송파구,가락1동,381570,20211
가락시장,송파구,가락1동,381570,20211
가산디지털단지,금천구,가산동,2272388,20214
가산디지털단지,금천구,가산동,2272388,20214
가산디지털단지,금천구,가산동,971992,20214
가산디지털단지,금천구,가산동,971992,20214
가산디지털단지,금천구,가산동,2313933,20214
가산디지털단지,금천구,가산동,2313933,20214
가산디지털단지,금천구,가산동,1001785,20214
가산디지털단지,금천구,가산동,1001785,20214
가산디지털단지,금천구,가산동,2042427,20214
가산디지털단지,금천구,가산동,2042427,20214
가산디지털단지,금천구,가산동,902463,20214
가산디지털단지,금천구,가산동,902463,20214
가산디지털단지,금천구,가산동,1900041,20213
가산디지털단지,금천구,가산동,1900041,20213
가산디지털단지,금천구,가산동,824498,20213
가산디지털단지,금천구,가산동,824498,20213
가산디지털단지,금천구,가산동,1946407,20213
가산디지털단지,금천구,가산동,1946407,20213
가산디지털단지,금천구,가산동,821341,20213
가산디지털단지,금천구,가산동,821341,20213
가산디지털단지,금천구,가산동,2124152,20213
가산디지털단지,금천구,가산동,2124152,20213
가산디지털단지,금천구,가산동,885353,20213
가산디지털단지,금천구,가산동,885353,20213
가산디지털단지,금천구,가산동,2333040,20212
가산디지털단지,금천구,가산동,2333040,20212
가산디지털단지,금천구,가산동,995802,20212
가산디지털단지,금천구,가산동,995802,20212
가산디지털단지,금천구,가산동,2120346,20212
가산디지털단지,금천구,가산동,2120346,20212
가산디지털단지,금천구,가산동,913487,20212
가산디지털단지,금천구,가산동,913487,20212
가산디지털단지,금천구,가산동,2311208,20212
가산디지털단지,금천구,가산동,2311208,20212
가산디지털단지,금천구,가산동,981402,20212
가산디지털단지,금천구,가산동,981402,20212
가산디지털단지,금천구,가산동,2325810,20211
가산디지털단지,금천구,가산동,2325810,20211
가산디지털단지,금천구,가산동,974040,20211
가산디지털단지,금천구,가산동,974040,20211
가산디지털단지,금천구,가산동,1879837,20211
가산디지털단지,금천구,가산동,1879837,20211
가산디지털단지,금천구,가산동,767540,20211
가산디지털단지,금천구,가산동,767540,20211
가산디지털단지,금천구,가산동,1999015,20211
가산디지털단지,금천구,가산동,1999015,20211
가산디지털단지,금천구,가산동,792356,20211
가산디지털단지,금천구,가산동,792356,20211
가양,강서구,등촌3동,1071604,20214
가양,강서구,등촌3동,1094851,20214
가양,강서구,등촌3동,1029466,20214
가양,강서구,등촌3동,928882,20213
가양,강서구,등촌3동,924580,20213
가양,강서구,등촌3동,969882,20213
가양,강서구,등촌3동,1063884,20212
가양,강서구,등촌3동,1024540,20212
가양,강서구,등촌3동,1053553,20212
가양,강서구,등촌3동,1071105,20211
가양,강서구,등촌3동,865208,20211
가양,강서구,등촌3동,871481,20211
가오리,강북구,수유2동,218445,20214
가오리,강북구,수유2동,221997,20214
가오리,강북구,수유2동,217690,20214
가오리,강북구,수유2동,202965,20213
가오리,강북구,수유2동,202394,20213
가오리,강북구,수유2동,205872,20213
가오리,강북구,수유2동,223028,20212
가오리,강북구,수유2동,213385,20212
가오리,강북구,수유2동,215646,20212
가오리,강북구,수유2동,215723,20211
가오리,강북구,수유2동,173658,20211
가오리,강북구,수유2동,174839,20211
가좌,서대문구,남가좌1동,276855,20214
가좌,서대문구,남가좌1동,288122,20214
가좌,서대문구,남가좌1동,275071,20214
가좌,서대문구,남가좌1동,251198,20213
가좌,서대문구,남가좌1동,245253,20213
가좌,서대문구,남가좌1동,252457,20213
가좌,서대문구,남가좌1동,283653,20212
가좌,서대문구,남가좌1동,277834,20212
가좌,서대문구,남가좌1동,281663,20212
가좌,서대문구,남가좌1동,280953,20211
가좌,서대문구,남가좌1동,225115,20211
가좌,서대문구,남가좌1동,221549,20211
가천대,0,0,452298,20214
가천대,0,0,514347,20214
가천대,0,0,470188,20214
가천대,0,0,358255,20213
가천대,0,0,318639,20213
가천대,0,0,336793,20213
가천대,0,0,444176,20212
가천대,0,0,449022,20212
가천대,0,0,488872,20212
가천대,0,0,478880,20211
가천대,0,0,295747,20211
가천대,0,0,309789,20211
가평,0,0,86765,20214
가평,0,0,117800,20214
가평,0,0,135813,20214
가평,0,0,102877,20213
가평,0,0,114700,20213
가평,0,0,110197,20213
가평,0,0,112660,20212
가평,0,0,105088,20212
가평,0,0,95080,20212
가평,0,0,80127,20211
가평,0,0,69681,20211
가평,0,0,58572,20211
간석,0,0,309632,20214
간석,0,0,313199,20214
간석,0,0,303731,20214
간석,0,0,280535,20213
간석,0,0,275280,20213
간석,0,0,287861,20213
간석,0,0,319623,20212
간석,0,0,309202,20212
간석,0,0,316024,20212
간석,0,0,317893,20211
간석,0,0,246191,20211
간석,0,0,245564,20211
갈매,0,0,152060,20214
갈매,0,0,157027,20214
갈매,0,0,151365,20214
갈매,0,0,136016,20213
갈매,0,0,131574,20213
갈매,0,0,139033,20213
갈매,0,0,157126,20212
갈매,0,0,151037,20212
갈매,0,0,154455,20212
갈매,0,0,153312,20211
갈매,0,0,118482,20211
갈매,0,0,120295,20211
강남,강남구,역삼1동,4364436,20214
강남,서초구,서초2동,4364436,20214
강남,강남구,역삼1동,4475269,20214
강남,서초구,서초2동,4475269,20214
강남,강남구,역삼1동,3988348,20214
강남,서초구,서초2동,3988348,20214
강남,강남구,역삼1동,3557639,20213
강남,서초구,서초2동,3557639,20213
강남,강남구,역삼1동,3693861,20213
강남,서초구,서초2동,3693861,20213
강남,강남구,역삼1동,3935733,20213
강남,서초구,서초2동,3935733,20213
강남,강남구,역삼1동,4381075,20212
강남,서초구,서초2동,4381075,20212
강남,강남구,역삼1동,4189754,20212
강남,서초구,서초2동,4189754,20212
강남,강남구,역삼1동,4275444,20212
강남,서초구,서초2동,4275444,20212
강남,강남구,역삼1동,4432677,20211
강남,서초구,서초2동,4432677,20211
강남,강남구,역삼1동,3612818,20211
강남,서초구,서초2동,3612818,20211
강남,강남구,역삼1동,3409938,20211
강남,서초구,서초2동,3409938,20211
강남구청,강남구,논현2동,903572,20214
강남구청,강남구,논현2동,903572,20214
강남구청,강남구,논현2동,573104,20214
강남구청,강남구,논현2동,573104,20214
강남구청,강남구,논현2동,909926,20214
강남구청,강남구,논현2동,909926,20214
강남구청,강남구,논현2동,570948,20214
강남구청,강남구,논현2동,570948,20214
강남구청,강남구,논현2동,831793,20214
강남구청,강남구,논현2동,831793,20214
강남구청,강남구,논현2동,506585,20214
강남구청,강남구,논현2동,506585,20214
강남구청,강남구,논현2동,748022,20213
강남구청,강남구,논현2동,748022,20213
강남구청,강남구,논현2동,458455,20213
강남구청,강남구,논현2동,458455,20213
강남구청,강남구,논현2동,761784,20213
강남구청,강남구,논현2동,761784,20213
강남구청,강남구,논현2동,465506,20213
강남구청,강남구,논현2동,465506,20213
강남구청,강남구,논현2동,802321,20213
강남구청,강남구,논현2동,802321,20213
강남구청,강남구,논현2동,489135,20213
강남구청,강남구,논현2동,489135,20213
강남구청,강남구,논현2동,887156,20212
강남구청,강남구,논현2동,887156,20212
강남구청,강남구,논현2동,544449,20212
강남구청,강남구,논현2동,544449,20212
강남구청,강남구,논현2동,836916,20212
강남구청,강남구,논현2동,836916,20212
강남구청,강남구,논현2동,511276,20212
강남구청,강남구,논현2동,511276,20212
강남구청,강남구,논현2동,885785,20212
강남구청,강남구,논현2동,885785,20212
강남구청,강남구,논현2동,535156,20212
강남구청,강남구,논현2동,535156,20212
강남구청,강남구,논현2동,893787,20211
강남구청,강남구,논현2동,893787,20211
강남구청,강남구,논현2동,542902,20211
강남구청,강남구,논현2동,542902,20211
강남구청,강남구,논현2동,709692,20211
강남구청,강남구,논현2동,709692,20211
강남구청,강남구,논현2동,428735,20211
강남구청,강남구,논현2동,428735,20211
강남구청,강남구,논현2동,731945,20211
강남구청,강남구,논현2동,731945,20211
강남구청,강남구,논현2동,435026,20211
강남구청,강남구,논현2동,435026,20211
강동,강동구,성내2동,967075,20214
강동,강동구,성내2동,972992,20214
강동,강동구,성내2동,912512,20214
강동,강동구,성내2동,821587,20213
강동,강동구,성내2동,833856,20213
강동,강동구,성내2동,877499,20213
