지하철역,호선명,시군구,행정동,총_승객수,년분기
동대문역사문화공원,2호선,중구,광희동,0,00
청계산입구,신분당선,서초구,내곡동,0,00
강일,5호선,강동구,강일동,0,00
강일,5호선,강동구,강일동,0,00
강일,5호선,강동구,강일동,0,00
서원,신림선,관악구,서원동,0,00
관악산(서울대),신림선,관악구,대학동,0,00
관악산(서울대),신림선,관악구,대학동,0,00
서울대벤처타운,신림선,관악구,서림동,0,00
서울대벤처타운,신림선,관악구,서림동,0,00
서원,신림선,관악구,서원동,0,00
보라매병원,신림선,동작구,신대방2동,0,00
보라매병원,신림선,동작구,신대방2동,0,00
보라매공원,신림선,동작구,신대방2동,0,00
양재시민의숲(매헌),신분당선,서초구,양재2동,0,00
서울,수도권 광역급행철도,중구,회현동,0,00
청계산입구,신분당선,서초구,내곡동,0,00
양재시민의숲(매헌),신분당선,서초구,양재2동,0,00
동대문역사문화공원,4호선,중구,광희동,0,00
동대문역사문화공원,5호선,중구,광희동,0,00
보라매공원,신림선,동작구,신대방2동,0,00
동대문역사문화공원,2호선,중구,광희동,0,00
서울지방병무청,신림선,영등포구,신길7동,0,00
서울지방병무청,신림선,영등포구,신길7동,0,00
삼성,수도권 광역급행철도,강남구,대치2동,0,00
삼성,수도권 광역급행철도,강남구,대치2동,0,00
강일,5호선,강동구,강일동,0,00
강일,5호선,강동구,강일동,0,00
동대문역사문화공원,5호선,중구,광희동,0,00
강일,5호선,강동구,강일동,0,00
암사역사공원,8호선,강동구,암사3동,0,00
암사역사공원,8호선,강동구,암사3동,0,00
동대문역사문화공원,4호선,중구,광희동,0,00
강일,5호선,강동구,강일동,0,00
서울,수도권 광역급행철도,중구,회현동,0,00
연신내,6호선,은평구,대조동,27,20191
연신내,6호선,은평구,대조동,25,20191
연신내,6호선,은평구,대조동,2155590,20191
연신내,6호선,은평구,대조동,21,20191
연신내,6호선,은평구,대조동,2489460,20191
올림픽공원(한국체대),5호선,송파구,오륜동,338173,20191
노량진,9호선,동작구,노량진1동,1570127,20191
노량진,9호선,동작구,노량진1동,656093,20191
노량진,9호선,동작구,노량진1동,1848823,20191
노량진,9호선,동작구,노량진1동,770438,20191
연신내,수도권 광역급행철도,은평구,대조동,2572965,20191
연신내,수도권 광역급행철도,은평구,대조동,2155590,20191
연신내,수도권 광역급행철도,은평구,대조동,21,20191
연신내,수도권 광역급행철도,은평구,대조동,2489460,20191
연신내,수도권 광역급행철도,은평구,대조동,27,20191
공덕,경의중앙선,마포구,도화동,163430,20191
노량진,9호선,동작구,노량진1동,785473,20191
연신내,수도권 광역급행철도,은평구,대조동,25,20191
홍대입구,공항철도1호선,마포구,서교동,5336308,20191
노량진,9호선,동작구,노량진1동,1884872,20191
