행정동,지하철역,년분기
가락1동,가락시장,20221
가락1동,송파,20221
가락2동,개롱,20221
가락2동,경찰병원,20221
가산동,가산디지털단지,20221
가산동,독산,20221
갈현1동,0,20221
갈현2동,구산,20221
개봉1동,개봉,20221
개포2동,개포동,20221
개포2동,구룡,20221
개포2동,대모산입구,20221
거여1동,거여,20221
공덕동,공덕,20221
공릉1동,공릉(서울과학기술대),20221
공릉1동,태릉입구,20221
공릉2동,화랑대(서울여대입구),20221
공항동,공항시장,20221
공항동,송정,20221
광장동,광나루(장신대),20221
광희동,동대문역사문화공원,20221
구로2동,구일,20221
구로3동,구로디지털단지,20221
구로3동,남구로,20221
구로5동,구로,20221
구의1동,구의(광진구청),20221
구의2동,아차산(어린이대공원후문),20221
구의3동,강변(동서울터미널),20221
금호1가동,신금호,20221
금호4가동,금호,20221
길동,길동,20221
길음1동,길음,20221
남가좌1동,가좌,20221
남영동,남영,20221
남영동,서울역,20221
남영동,숙대입구(갈월),20221
남현동,0,20221
내곡동,청계산입구,20221
노량진1동,노들,20221
노량진1동,노량진,20221
녹번동,녹번,20221
녹번동,역촌,20221
논현1동,논현,20221
논현1동,신사,20221
논현2동,강남구청,20221
논현2동,선정릉,20221
논현2동,학동,20221
능동,군자(능동),20221
능동,어린이대공원(세종대),20221
당산1동,영등포구청,20221
당산2동,당산,20221
대림3동,0,20221
대방동,보라매,20221
대방동,신대방삼거리,20221
대조동,불광,20221
대조동,연신내,20221
대치2동,대치,20221
대치2동,삼성,20221
대치2동,삼성(무역센터),20221
대치2동,학여울,20221
대치4동,0,20221
대흥동,대흥(서강대앞),20221
대흥동,서강대,20221
대흥동,이대,20221
도곡1동,매봉,20221
도곡2동,도곡,20221
도곡2동,한티,20221
도봉2동,도봉,20221
도봉2동,도봉산,20221
독산1동,0,20221
동화동,0,20221
둔촌1동,둔촌동,20221
둔촌1동,둔촌오륜,20221
둔촌2동,중앙보훈병원,20221
등촌1동,증미,20221
등촌3동,가양,20221
마장동,마장,20221
마천1동,마천,20221
망우본동,신내,20221
망우본동,양원,20221
면목3.8동,0,20221
면목4동,용마산,20221
면목본동,면목,20221
명동,명동,20221
명일1동,명일,20221
명일2동,고덕,20221
목1동,목동,20221
목1동,오목교(목동운동장앞),20221
목2동,신목동,20221
목2동,염창,20221
목3동,등촌,20221
묵2동,먹골,20221
문래동,문래,20221
문정2동,문정,20221
문정2동,복정,20221
미아동,미아(서울사이버대학),20221
반포1동,반포,20221
반포1동,사평,20221
반포2동,신반포,20221
반포4동,고속터미널,20221
반포본동,구반포,20221
발산1동,우장산,20221
방배1동,내방,20221
방배2동,남태령,20221
방배3동,방배,20221
방이1동,방이,20221
방이2동,송파나루,20221
방학1동,방학,20221
방화1동,마곡나루,20221
방화1동,신방화,20221
방화2동,개화,20221
방화2동,개화산,20221
방화2동,김포공항,20221
번1동,수유(강북구청),20221
보문동,보문,20221
불광1동,독바위,20221
사근동,용답,20221
사근동,한양대,20221
사당2동,동작(현충원),20221
사당2동,총신대입구(이수),20221
사당4동,남성,20221
사직동,경복궁(정부서울청사),20221
사직동,광화문(세종문화회관),20221
삼선동,성신여대입구(돈암),20221
삼선동,한성대입구(삼선교),20221
삼성1동,봉은사,20221
삼성1동,청담,20221
삼성2동,삼성중앙,20221
삼성2동,선정릉,20221
삼양동,삼양,20221
삼양동,삼양사거리,20221
삼양동,솔샘,20221
상계1동,수락산,20221
상계2동,노원,20221
상계3.4동,0,20221
상계5동,상계,20221
상계8동,마들,20221
상도1동,상도,20221
상도1동,숭실대입구(살피재),20221
상도2동,장승배기,20221
상봉1동,망우,20221
상봉1동,상봉(시외버스터미널),20221
상봉2동,상봉(시외버스터미널),20221
상암동,디지털미디어시티,20221
서강동,광흥창(서강),20221
서강동,상수,20221
서교동,망원,20221
서교동,홍대입구,20221
서빙고동,서빙고,20221
서원동,서원,20221
서원동,신림,20221
서초1동,교대(법원.검찰청),20221
서초2동,강남,20221
서초2동,양재(서초구청),20221
서초3동,교대(법원.검찰청),20221
서초3동,남부터미널(예술의전당),20221
서초3동,서초,20221
석관동,석계,20221
석촌동,석촌,20221
석촌동,석촌고분,20221
성내1동,강동구청,20221
성내2동,강동,20221
성내2동,천호(풍납토성),20221
성산2동,마포구청,20221
성산2동,월드컵경기장(성산),20221
성수1가1동,서울숲,20221
성수1가2동,뚝섬,20221
성수2가3동,성수,20221
소공동,시청,20221
소공동,을지로입구,20221
송천동,미아사거리,20221
송파1동,0,20221
수궁동,온수(성공회대입구),20221
수색동,디지털미디어시티,20221
수색동,수색,20221
수서동,수서,20221
수유1동,화계,20221
수유2동,가오리,20221
숭인2동,0,20221
시흥1동,금천구청,20221
신길1동,신길,20221
신길6동,보라매,20221
신길6동,신풍,20221
신길7동,대방,20221
신길7동,서울지방병무청,20221
신내1동,봉화산(서울의료원),20221
신당동,신당,20221
신당동,청구,20221
신도림동,도림천,20221
신도림동,신도림,20221
신사1동,응암,20221
신사2동,새절(신사),20221
신사동,신대방,20221
신정3동,신정네거리,20221
신정4동,신정(은행정),20221
신정7동,양천구청,20221
신촌동,신촌,20221
아현동,아현,20221
아현동,애오개,20221
안암동,안암(고대병원앞),20221
암사2동,암사,20221
압구정동,압구정,20221
압구정동,압구정로데오,20221
약수동,버티고개,20221
약수동,약수,20221
양재1동,양재(서초구청),20221
양재2동,양재시민의숲(매헌),20221
양평1동,양평,20221
양평2동,선유도,20221
여의동,국회의사당,20221
여의동,샛강,20221
여의동,여의나루,20221
여의동,여의도,20221
역삼1동,강남,20221
역삼1동,선릉,20221
역삼1동,신논현,20221
역삼1동,언주,20221
역삼1동,역삼,20221
영등포동,신길,20221
영등포동,영등포시장,20221
영등포본동,영등포,20221
오금동,오금,20221
오류1동,오류동,20221
오륜동,올림픽공원(한국체대),20221
오륜동,한성백제,20221
옥수동,옥수,20221
왕십리2동,상왕십리,20221
용강동,마포,20221
용답동,답십리,20221
용답동,신답,20221
용답동,장한평,20221
용산2가동,녹사평(용산구청),20221
용신동,신설동,20221
용신동,용두(동대문구청),20221
용신동,제기동,20221
우이동,4.19민주묘지,20221
우이동,북한산우이,20221
우이동,솔밭공원,20221
우장산동,발산,20221
월계2동,월계,20221
월계3동,광운대,20221
월곡2동,상월곡(한국과학기술연구원),20221
월곡2동,월곡(동덕여대),20221
을지로동,을지로3가,20221
을지로동,을지로4가,20221
응봉동,응봉,20221
이문1동,외대앞,20221
이문2동,신이문,20221
이태원1동,이태원,20221
이화동,혜화,20221
인헌동,낙성대,20221
일원본동,일원,20221
자양4동,뚝섬유원지,20221
잠실2동,잠실새내,20221
잠실4동,몽촌토성(평화의문),20221
잠실4동,잠실나루,20221
잠실6동,잠실(송파구청),20221
잠실7동,종합운동장,20221
잠실본동,삼전,20221
잠원동,잠원,20221
장위2동,돌곶이,20221
장지동,장지,20221
장충동,동대입구,20221
전농1동,청량리(서울시립대입구),20221
정릉1동,정릉,20221
정릉4동,북한산보국문,20221
제기동,고려대(종암),20221
종로1.2.3.4가동,0,20221
종로5.6가동,0,20221
중계2.3동,0,20221
중곡3동,중곡,20221
중화2동,중랑,20221
중화2동,중화,20221
증산동,증산(명지대앞),20221
진관동,구파발,20221
창1동,녹천,20221
창1동,쌍문,20221
창5동,창동,20221
창신3동,창신,20221
천연동,독립문,20221
천호1동,굽은다리(강동구민회관앞),20221
청룡동,봉천,20221
청룡동,서울대입구(관악구청),20221
충현동,서대문,20221
충현동,충정로(경기대입구),20221
필동,충무로,20221
하계2동,하계,20221
한강로동,삼각지,20221
한강로동,신용산,20221
한강로동,용산,20221
한강로동,이촌(국립중앙박물관),20221
한남동,한강진,20221
한남동,한남,20221
행당1동,왕십리(성동구청),20221
행당2동,행당,20221
홍제1동,무악재,20221
홍제1동,홍제,20221
화곡1동,까치산,20221
화곡1동,화곡,20221
화양동,건대입구,20221
회현동,서울,20221
회현동,서울역,20221
회현동,회현(남대문시장),20221
효창동,0,20221
휘경1동,회기,20221
흑석동,흑석(중앙대입구),20221
가락1동,가락시장,20222
가락1동,송파,20222
가락2동,개롱,20222
가락2동,경찰병원,20222
가산동,가산디지털단지,20222
가산동,독산,20222
갈현1동,0,20222
갈현2동,구산,20222
개봉1동,개봉,20222
개포2동,개포동,20222
개포2동,구룡,20222
개포2동,대모산입구,20222
거여1동,거여,20222
공덕동,공덕,20222
공릉1동,공릉(서울과학기술대),20222
공릉1동,태릉입구,20222
공릉2동,화랑대(서울여대입구),20222
공항동,공항시장,20222
공항동,송정,20222
