연도,분기,행정동,시군구,지하철_승객_수
2024,1-3월,개포3동,강남구,0.0
2024,1-3월,고덕1동,강동구,0.0
2024,1-3월,상일1동,강동구,0.0
2024,1-3월,상일2동,강동구,0.0
2024,1-3월,오류2동,구로구,1905226.0
2024,1-3월,항동,구로구,0.0
2024,10-11월,가락1동,송파구,1242885.0
2024,10-11월,가락2동,송파구,637003.0
2024,10-11월,가락본동,송파구,0.0
2024,10-11월,가리봉동,구로구,0.0
2024,10-11월,가산동,금천구,2128504.0
2024,10-11월,가양2동,강서구,0.0
2024,10-11월,가양3동,강서구,0.0
2024,10-11월,가회동,종로구,0.0
2024,10-11월,갈현1동,은평구,1599323.0
2024,10-11월,갈현2동,은평구,387663.0
2024,10-11월,개봉1동,구로구,616821.0
2024,10-11월,개봉2동,구로구,0.0
2024,10-11월,개봉3동,구로구,0.0
2024,10-11월,개포1동,강남구,0.0
2024,10-11월,개포2동,강남구,838806.0
2024,10-11월,개포3동,강남구,0.0
2024,10-11월,개포4동,강남구,0.0
2024,10-11월,거여1동,송파구,466720.0
2024,10-11월,거여2동,송파구,0.0
2024,10-11월,고덕1동,강동구,0.0
2024,10-11월,고덕2동,강동구,0.0
2024,10-11월,고척1동,구로구,0.0
2024,10-11월,고척2동,구로구,0.0
2024,10-11월,공덕동,마포구,6671404.0
2024,10-11월,공릉1동,노원구,1266775.0
2024,10-11월,공릉2동,노원구,561626.0
2024,10-11월,공항동,강서구,2655168.0
2024,10-11월,광장동,광진구,563585.0
2024,10-11월,광희동,중구,18188630.0
2024,10-11월,교남동,종로구,0.0
2024,10-11월,구로1동,구로구,0.0
2024,10-11월,구로2동,구로구,178601.0
2024,10-11월,구로3동,구로구,3196214.0
2024,10-11월,구로4동,구로구,0.0
2024,10-11월,구로5동,구로구,403513.0
2024,10-11월,구산동,은평구,0.0
2024,10-11월,구의1동,광진구,1157582.0
2024,10-11월,구의2동,광진구,746339.0
2024,10-11월,구의3동,광진구,1357048.0
2024,10-11월,군자동,광진구,0.0
2024,10-11월,금호1가동,성동구,296165.0
