행정동,시군구,총_승객수,연분기
가락1동,송파구,18745,20221
가락2동,송파구,10442,20221
가산동,금천구,38186,20221
갈현1동,은평구,29402,20221
갈현2동,은평구,5997,20221
개봉1동,구로구,10893,20221
개포2동,강남구,5130,20221
거여1동,송파구,7405,20221
공덕동,마포구,25676,20221
공릉1동,노원구,20802,20221
공릉2동,노원구,8958,20221
공항동,강서구,7704,20221
광장동,광진구,10487,20221
광희동,중구,23264,20221
구로2동,구로구,2666,20221
구로3동,구로구,56896,20221
구로5동,구로구,7293,20221
구의1동,광진구,18605,20221
구의2동,광진구,12147,20221
구의3동,광진구,24347,20221
금호1가동,성동구,4926,20221
금호4가동,성동구,6271,20221
길동,강동구,6445,20221
길음1동,성북구,15858,20221
남가좌1동,서대문구,2322,20221
남영동,용산구,14306,20221
남현동,관악구,48732,20221
내곡동,서초구,1943,20221
노량진1동,동작구,28808,20221
녹번동,은평구,15046,20221
논현1동,강남구,40215,20221
논현2동,강남구,34626,20221
능동,광진구,31245,20221
당산1동,영등포구,20069,20221
당산2동,영등포구,28236,20221
대림3동,영등포구,25906,20221
대방동,동작구,20643,20221
대조동,은평구,16524,20221
대치2동,강남구,49402,20221
대치4동,강남구,45387,20221
대흥동,마포구,17140,20221
도곡1동,강남구,9140,20221
도곡2동,강남구,16083,20221
도봉2동,도봉구,14696,20221
독산1동,금천구,7036,20221
동화동,중구,6039,20221
둔촌1동,강동구,7659,20221
둔촌2동,강동구,7740,20221
등촌1동,강서구,5572,20221
등촌3동,강서구,15901,20221
마장동,성동구,4483,20221
마천1동,송파구,5487,20221
망우본동,중랑구,2037,20221
면목3.8동,중랑구,12914,20221
면목4동,중랑구,4821,20221
면목본동,중랑구,12485,20221
명동,중구,42616,20221
명일1동,강동구,6778,20221
명일2동,강동구,7267,20221
목1동,양천구,30194,20221
목2동,양천구,16447,20221
목3동,양천구,8850,20221
묵2동,중랑구,8221,20221
문래동,영등포구,16027,20221
문정2동,송파구,23319,20221
미아동,강북구,11816,20221
반포1동,서초구,7253,20221
반포2동,서초구,2577,20221
반포4동,서초구,58791,20221
반포본동,서초구,1070,20221
발산1동,강서구,11151,20221
방배1동,서초구,10944,20221
방배2동,서초구,928,20221
방배3동,서초구,12874,20221
방이1동,송파구,5707,20221
방이2동,송파구,4191,20221
방학1동,도봉구,4638,20221
방화1동,강서구,9015,20221
방화2동,강서구,26426,20221
번1동,강북구,27366,20221
보문동,성북구,6429,20221
불광1동,은평구,2147,20221
사근동,성동구,9250,20221
사당2동,동작구,30283,20221
사당4동,동작구,8660,20221
사직동,종로구,37035,20221
삼선동,성북구,28282,20221
삼성1동,강남구,26980,20221
삼성2동,강남구,4924,20221
삼양동,강북구,5037,20221
상계1동,노원구,10184,20221
상계2동,노원구,31324,20221
상계3.4동,노원구,9901,20221
상계5동,노원구,15033,20221
상계8동,노원구,10012,20221
상도1동,동작구,18255,20221
상도2동,동작구,7236,20221
상봉1동,중랑구,2860,20221
상봉2동,중랑구,16258,20221
상암동,마포구,17876,20221
서강동,마포구,14080,20221
서교동,마포구,100022,20221
서빙고동,용산구,928,20221
서원동,관악구,51431,20221
서초1동,서초구,35038,20221
서초2동,서초구,67988,20221
서초3동,서초구,38676,20221
석관동,성북구,14480,20221
석촌동,송파구,11111,20221
성내1동,강동구,8110,20221
성내2동,강동구,41697,20221
성산2동,마포구,14866,20221
성수1가1동,성동구,4951,20221
성수1가2동,성동구,16668,20221
성수2가3동,성동구,28037,20221
소공동,중구,32118,20221
송천동,강북구,22011,20221
송파1동,송파구,6787,20221
수궁동,구로구,10867,20221
수색동,은평구,775,20221
수서동,강남구,18849,20221
수유1동,강북구,1553,20221
수유2동,강북구,1907,20221
숭인2동,종로구,14202,20221
시흥1동,금천구,5226,20221
신길1동,영등포구,7893,20221
신길6동,영등포구,9065,20221
신길7동,영등포구,6111,20221
신내1동,중랑구,6764,20221
신당동,중구,17501,20221
신도림동,구로구,40058,20221
신사1동,은평구,13912,20221
신사2동,은평구,9958,20221
신사동,관악구,21159,20221
신정3동,양천구,8027,20221
신정4동,양천구,10783,20221
신정7동,양천구,5263,20221
신촌동,서대문구,27139,20221
아현동,마포구,13068,20221
안암동,성북구,8461,20221
암사2동,강동구,14716,20221
압구정동,강남구,35917,20221
약수동,중구,14443,20221
양재1동,서초구,29871,20221
양재2동,서초구,3278,20221
양평1동,영등포구,5613,20221
양평2동,영등포구,6337,20221
여의동,영등포구,63540,20221
역삼1동,강남구,70277,20221
영등포동,영등포구,8057,20221
영등포본동,영등포구,16015,20221
오금동,송파구,7529,20221
오류1동,구로구,5258,20221
오륜동,송파구,10222,20221
옥수동,성동구,6951,20221
왕십리2동,성동구,11083,20221
용강동,마포구,10654,20221
용답동,성동구,27896,20221
용산2가동,용산구,3907,20221
용신동,동대문구,30651,20221
우이동,강북구,3989,20221
우장산동,강서구,15771,20221
월계2동,노원구,3498,20221
월계3동,노원구,4340,20221
월곡2동,성북구,13949,20221
을지로동,중구,37405,20221
응봉동,성동구,786,20221
이문1동,동대문구,4231,20221
이문2동,동대문구,4722,20221
이태원1동,용산구,8793,20221
이화동,종로구,26296,20221
인헌동,관악구,21761,20221
일원본동,강남구,7480,20221
자양4동,광진구,6377,20221
잠실2동,송파구,16756,20221
잠실4동,송파구,15382,20221
잠실6동,송파구,66962,20221
잠실7동,송파구,9809,20221
잠실본동,송파구,5572,20221
잠원동,서초구,3662,20221
장위2동,성북구,7410,20221
장지동,송파구,13567,20221
장충동,중구,6302,20221
전농1동,동대문구,23429,20221
정릉1동,성북구,2597,20221
정릉4동,성북구,3581,20221
제기동,동대문구,6213,20221
종로1.2.3.4가동,종로구,78188,20221
종로5.6가동,종로구,41020,20221
중계2.3동,노원구,10955,20221
중곡3동,광진구,8479,20221
중화2동,중랑구,11037,20221
증산동,은평구,8034,20221
진관동,은평구,16181,20221
창1동,도봉구,25663,20221
창5동,도봉구,20706,20221
창신3동,종로구,2667,20221
천연동,서대문구,5523,20221
천호1동,강동구,7593,20221
청룡동,관악구,57138,20221
충현동,서대문구,24242,20221
필동,중구,19231,20221
하계2동,노원구,13808,20221
한강로동,용산구,43458,20221
한남동,용산구,8358,20221
행당1동,성동구,23545,20221
행당2동,성동구,6264,20221
홍제1동,서대문구,16711,20221
화곡1동,강서구,45472,20221
화양동,광진구,39983,20221
회현동,중구,67225,20221
효창동,용산구,6767,20221
휘경1동,동대문구,13359,20221
흑석동,동작구,6516,20221
가락1동,송파구,22643,20222
가락2동,송파구,12252,20222
가산동,금천구,43137,20222
갈현1동,은평구,34227,20222
갈현2동,은평구,7149,20222
개봉1동,구로구,12881,20222
개포2동,강남구,6370,20222
거여1동,송파구,9371,20222
공덕동,마포구,30825,20222
공릉1동,노원구,25940,20222
공릉2동,노원구,10969,20222
공항동,강서구,8967,20222
광장동,광진구,12919,20222
광희동,중구,27869,20222
구로2동,구로구,3869,20222
구로3동,구로구,65254,20222
구로5동,구로구,8457,20222
구의1동,광진구,21403,20222
구의2동,광진구,14895,20222
구의3동,광진구,30523,20222
금호1가동,성동구,5932,20222
금호4가동,성동구,7353,20222
길동,강동구,7365,20222
