행정동,년분기,버스정류장수
서울특별시 강남구 개포1동,20211,17
서울특별시 강남구 개포2동,20211,38
서울특별시 강남구 개포4동,20211,35
서울특별시 강남구 논현1동,20211,18
서울특별시 강남구 논현2동,20211,26
서울특별시 강남구 대치1동,20211,17
서울특별시 강남구 대치2동,20211,37
서울특별시 강남구 대치4동,20211,16
서울특별시 강남구 도곡1동,20211,19
서울특별시 강남구 도곡2동,20211,26
서울특별시 강남구 삼성1동,20211,41
서울특별시 강남구 삼성2동,20211,23
서울특별시 강남구 세곡동,20211,67
서울특별시 강남구 수서동,20211,19
서울특별시 강남구 신사동,20211,17
서울특별시 강남구 압구정동,20211,25
서울특별시 강남구 역삼1동,20211,53
서울특별시 강남구 역삼2동,20211,27
서울특별시 강남구 일원1동,20211,15
서울특별시 강남구 일원2동,20211,12
서울특별시 강남구 일원본동,20211,34
서울특별시 강남구 청담동,20211,32
서울특별시 강동구 강일동,20211,69
서울특별시 강동구 고덕1동,20211,24
서울특별시 강동구 고덕2동,20211,20
서울특별시 강동구 길동,20211,37
서울특별시 강동구 둔촌1동,20211,8
서울특별시 강동구 둔촌2동,20211,32
서울특별시 강동구 명일1동,20211,17
서울특별시 강동구 명일2동,20211,20
서울특별시 강동구 상일동,20211,43
서울특별시 강동구 성내1동,20211,22
서울특별시 강동구 성내2동,20211,19
서울특별시 강동구 성내3동,20211,15
서울특별시 강동구 암사1동,20211,13
서울특별시 강동구 암사2동,20211,7
서울특별시 강동구 암사3동,20211,9
서울특별시 강동구 천호1동,20211,24
서울특별시 강동구 천호2동,20211,30
서울특별시 강동구 천호3동,20211,11
서울특별시 강북구 미아동,20211,28
서울특별시 강북구 번1동,20211,26
서울특별시 강북구 번2동,20211,48
서울특별시 강북구 번3동,20211,43
서울특별시 강북구 삼각산동,20211,27
서울특별시 강북구 삼양동,20211,35
서울특별시 강북구 송중동,20211,72
서울특별시 강북구 송천동,20211,28
서울특별시 강북구 수유1동,20211,40
서울특별시 강북구 수유2동,20211,15
