동별,항목,단위,2019 년,2020 년,2021 년,2022 년,2023 년
합계,면수,면,4250682.0,4327614.0,4354516.0,4501875.0,4548788.0
사직동,면수,면,14217.0,14146.0,14232.0,12605.0,12567.0
삼청동,면수,면,1853.0,1867.0,1840.0,2237.0,2267.0
부암동,면수,면,3474.0,3485.0,3494.0,3533.0,3549.0
평창동,면수,면,9620.0,9614.0,9505.0,9390.0,9369.0
무악동,면수,면,3249.0,3249.0,3249.0,3185.0,3187.0
교남동,면수,면,5254.0,5261.0,4927.0,5240.0,5240.0
가회동,면수,면,2942.0,2955.0,2914.0,3238.0,3168.0
종로1.2.3.4가동,면수,면,18101.0,18146.0,19276.0,18551.0,18212.0
종로5.6가동,면수,면,5203.0,4882.0,5276.0,4754.0,4699.0
이화동,면수,면,9643.0,9590.0,9607.0,8766.0,8578.0
창신1동,면수,면,2286.0,2291.0,2388.0,2175.0,2112.0
창신2동,면수,면,995.0,993.0,999.0,917.0,862.0
창신3동,면수,면,1712.0,1781.0,1722.0,1637.0,1685.0
숭인1동,면수,면,1832.0,1831.0,1860.0,1512.0,1569.0
숭인2동,면수,면,3561.0,3551.0,3674.0,3776.0,3686.0
청운효자동,면수,면,4774.0,4771.0,4663.0,4592.0,4690.0
혜화동,면수,면,6634.0,6635.0,6724.0,5954.0,5998.0
소공동,면수,면,13973.0,14076.0,14056.0,14062.0,14029.0
회현동,면수,면,12348.0,12208.0,11896.0,11806.0,11710.0
명동,면수,면,14470.0,13938.0,14869.0,15101.0,14973.0
필동,면수,면,4996.0,5001.0,4870.0,4903.0,5177.0
장충동,면수,면,4658.0,5485.0,5467.0,5458.0,5700.0
광희동,면수,면,8647.0,8709.0,8616.0,8776.0,8726.0
을지로동,면수,면,4714.0,4989.0,4865.0,4828.0,4666.0
신당5동,면수,면,3097.0,6547.0,2975.0,2794.0,3121.0
황학동,면수,면,6140.0,6226.0,6584.0,6894.0,6726.0
중림동,면수,면,5982.0,5346.0,5365.0,5383.0,5801.0
신당동,면수,면,8079.0,4182.0,7755.0,7819.0,7859.0
다산동,면수,면,4819.0,4761.0,4795.0,4827.0,4825.0
약수동,면수,면,6189.0,6144.0,6309.0,6341.0,6367.0
청구동,면수,면,5128.0,5144.0,5142.0,5147.0,5155.0
동화동,면수,면,4159.0,4982.0,4997.0,5014.0,4976.0
후암동,면수,면,4600.0,4853.0,4204.0,4578.0,4239.0
용산2가동,면수,면,2014.0,2068.0,1199.0,1177.0,1389.0
남영동,면수,면,5578.0,5587.0,5512.0,5552.0,5129.0
원효로2동,면수,면,5812.0,5640.0,5281.0,6196.0,4754.0
효창동,면수,면,3931.0,4049.0,3835.0,3837.0,2994.0
용문동,면수,면,4166.0,4380.0,4268.0,4697.0,2795.0
이촌1동,면수,면,12289.0,12547.0,10739.0,10058.0,10831.0
이촌2동,면수,면,2388.0,2391.0,2194.0,2159.0,2313.0
이태원1동,면수,면,3902.0,4048.0,3678.0,3966.0,3273.0
이태원2동,면수,면,3739.0,3880.0,3624.0,3786.0,4331.0
서빙고동,면수,면,6908.0,6840.0,6524.0,6523.0,6361.0
보광동,면수,면,2026.0,2661.0,2552.0,2800.0,1887.0
청파동,면수,면,5954.0,6318.0,5992.0,6781.0,5075.0
원효로1동,면수,면,8358.0,8603.0,8518.0,9967.0,8537.0
한강로동,면수,면,25798.0,26363.0,26232.0,30057.0,24252.0
