행정동,년분기,주차장면적(면),주차장개수(개소)
가락1동,20191,20942.0,83.0
가락1동,20192,20942.0,83.0
가락1동,20193,20942.0,83.0
가락1동,20194,20942.0,83.0
가락1동,20201,20268.0,57.0
가락1동,20202,20268.0,57.0
가락1동,20203,20268.0,57.0
가락1동,20204,20268.0,57.0
가락1동,20211,20389.0,58.0
가락1동,20212,20389.0,58.0
가락1동,20213,20389.0,58.0
가락1동,20214,20389.0,58.0
가락1동,20221,15237.0,60.0
가락1동,20222,15237.0,60.0
가락1동,20223,15237.0,60.0
가락1동,20224,15237.0,60.0
가락1동,20231,11607.0,995.0
가락1동,20232,11607.0,995.0
가락1동,20233,11607.0,995.0
가락1동,20234,11607.0,995.0
가락1동,20241,11607.0,995.0
가락1동,20242,11607.0,995.0
가락2동,20191,14340.0,1058.0
가락2동,20192,14340.0,1058.0
가락2동,20193,14340.0,1058.0
가락2동,20194,14340.0,1058.0
가락2동,20201,12848.0,985.0
가락2동,20202,12848.0,985.0
가락2동,20203,12848.0,985.0
가락2동,20204,12848.0,985.0
가락2동,20211,14134.0,1054.0
가락2동,20212,14134.0,1054.0
가락2동,20213,14134.0,1054.0
가락2동,20214,14134.0,1054.0
가락2동,20221,12780.0,1047.0
가락2동,20222,12780.0,1047.0
가락2동,20223,12780.0,1047.0
가락2동,20224,12780.0,1047.0
가락2동,20231,15150.0,1123.0
가락2동,20232,15150.0,1123.0
가락2동,20233,15150.0,1123.0
가락2동,20234,15150.0,1123.0
가락2동,20241,15150.0,1123.0
가락2동,20242,15150.0,1123.0
가락본동,20191,14368.0,1049.0
가락본동,20192,14368.0,1049.0
가락본동,20193,14368.0,1049.0
가락본동,20194,14368.0,1049.0
가락본동,20201,15237.0,1139.0
가락본동,20202,15237.0,1139.0
가락본동,20203,15237.0,1139.0
가락본동,20204,15237.0,1139.0
가락본동,20211,15406.0,1074.0
가락본동,20212,15406.0,1074.0
가락본동,20213,15406.0,1074.0
가락본동,20214,15406.0,1074.0
가락본동,20221,14520.0,1084.0
가락본동,20222,14520.0,1084.0
가락본동,20223,14520.0,1084.0
가락본동,20224,14520.0,1084.0
가락본동,20231,21349.0,40.0
가락본동,20232,21349.0,40.0
가락본동,20233,21349.0,40.0
가락본동,20234,21349.0,40.0
가락본동,20241,21349.0,40.0
가락본동,20242,21349.0,40.0
가리봉동,20191,2500.0,358.0
가리봉동,20192,2500.0,358.0
가리봉동,20193,2500.0,358.0
가리봉동,20194,2500.0,358.0
가리봉동,20201,2534.0,376.0
가리봉동,20202,2534.0,376.0
가리봉동,20203,2534.0,376.0
가리봉동,20204,2534.0,376.0
가리봉동,20211,2547.0,382.0
가리봉동,20212,2547.0,382.0
가리봉동,20213,2547.0,382.0
가리봉동,20214,2547.0,382.0
가리봉동,20221,2620.0,357.0
가리봉동,20222,2620.0,357.0
가리봉동,20223,2620.0,357.0
가리봉동,20224,2620.0,357.0
가리봉동,20231,2577.0,356.0
가리봉동,20232,2577.0,356.0
가리봉동,20233,2577.0,356.0
가리봉동,20234,2577.0,356.0
가리봉동,20241,2577.0,356.0
가리봉동,20242,2577.0,356.0
가산동,20191,48560.0,775.0
가산동,20192,48560.0,775.0
가산동,20193,48560.0,775.0
가산동,20194,48560.0,775.0
