행정동,년분기,학교수,학생수
서울특별시 강남구 개포1동,20191,1.0,593.0
서울특별시 강남구 개포1동,20192,1.0,593.0
서울특별시 강남구 개포1동,20193,1.0,620.0
서울특별시 강남구 개포1동,20194,1.0,620.0
서울특별시 강남구 개포1동,20201,3.0,778.0
서울특별시 강남구 개포1동,20202,3.0,778.0
서울특별시 강남구 개포1동,20203,1.0,800.0
서울특별시 강남구 개포1동,20204,1.0,800.0
서울특별시 강남구 개포1동,20211,3.0,848.0
서울특별시 강남구 개포1동,20212,3.0,848.0
서울특별시 강남구 개포1동,20213,1.0,852.0
서울특별시 강남구 개포1동,20214,1.0,852.0
서울특별시 강남구 개포1동,20221,3.0,824.0
서울특별시 강남구 개포1동,20222,3.0,824.0
서울특별시 강남구 개포1동,20223,1.0,813.0
서울특별시 강남구 개포1동,20224,1.0,813.0
서울특별시 강남구 개포1동,20231,3.0,784.0
서울특별시 강남구 개포1동,20232,3.0,784.0
서울특별시 강남구 개포1동,20233,3.0,795.0
서울특별시 강남구 개포1동,20234,3.0,795.0
서울특별시 강남구 개포2동,20191,6.0,3566.0
서울특별시 강남구 개포2동,20192,6.0,3566.0
서울특별시 강남구 개포2동,20193,6.0,3689.0
서울특별시 강남구 개포2동,20194,6.0,3689.0
서울특별시 강남구 개포2동,20201,7.0,3821.0
서울특별시 강남구 개포2동,20202,7.0,3821.0
서울특별시 강남구 개포2동,20203,6.0,3900.0
서울특별시 강남구 개포2동,20204,6.0,3900.0
서울특별시 강남구 개포2동,20211,8.0,5127.0
서울특별시 강남구 개포2동,20212,8.0,5127.0
서울특별시 강남구 개포2동,20213,5.0,3496.0
서울특별시 강남구 개포2동,20214,5.0,3496.0
서울특별시 강남구 개포2동,20221,8.0,5853.0
서울특별시 강남구 개포2동,20222,8.0,5853.0
서울특별시 강남구 개포2동,20223,4.0,2592.0
서울특별시 강남구 개포2동,20224,4.0,2592.0
서울특별시 강남구 개포2동,20231,8.0,6620.0
서울특별시 강남구 개포2동,20232,8.0,6620.0
서울특별시 강남구 개포2동,20233,8.0,6881.0
서울특별시 강남구 개포2동,20234,8.0,6881.0
서울특별시 강남구 개포4동,20191,4.0,1721.0
서울특별시 강남구 개포4동,20192,4.0,1721.0
서울특별시 강남구 개포4동,20193,4.0,1732.0
서울특별시 강남구 개포4동,20194,4.0,1732.0
서울특별시 강남구 개포4동,20201,4.0,1694.0
서울특별시 강남구 개포4동,20202,4.0,1694.0
서울특별시 강남구 개포4동,20203,4.0,1686.0
서울특별시 강남구 개포4동,20204,4.0,1686.0
서울특별시 강남구 개포4동,20211,4.0,2022.0
서울특별시 강남구 개포4동,20212,4.0,2022.0
서울특별시 강남구 개포4동,20213,4.0,2014.0
서울특별시 강남구 개포4동,20214,4.0,2014.0
서울특별시 강남구 개포4동,20221,4.0,1995.0
서울특별시 강남구 개포4동,20222,4.0,1995.0
서울특별시 강남구 개포4동,20223,4.0,1995.0
서울특별시 강남구 개포4동,20224,4.0,1995.0
서울특별시 강남구 개포4동,20231,4.0,1970.0
서울특별시 강남구 개포4동,20232,4.0,1970.0
서울특별시 강남구 개포4동,20233,4.0,1950.0
서울특별시 강남구 개포4동,20234,4.0,1950.0
서울특별시 강남구 논현1동,20191,1.0,339.0
서울특별시 강남구 논현1동,20192,1.0,339.0
서울특별시 강남구 논현1동,20193,1.0,326.0
서울특별시 강남구 논현1동,20194,1.0,326.0
서울특별시 강남구 논현1동,20201,1.0,309.0
서울특별시 강남구 논현1동,20202,1.0,309.0
서울특별시 강남구 논현1동,20203,1.0,315.0
서울특별시 강남구 논현1동,20204,1.0,315.0
서울특별시 강남구 논현1동,20211,1.0,290.0
서울특별시 강남구 논현1동,20212,1.0,290.0
