adm_nm,school_count_191,student_count_191,school_count_232,student_count_232,school_count_192,student_count_192,school_count_201,student_count_201,school_count_202,student_count_202,school_count_211,student_count_211,school_count_212,student_count_212,school_count_221,student_count_221,school_count_222,student_count_222,school_count_231,student_count_231
서울특별시 강남구 개포1동,1.0,593.0,3,795.0,1.0,620.0,3.0,778.0,1.0,800.0,3,848.0,1.0,852.0,3,824,1.0,813.0,3,784.0
서울특별시 강남구 개포2동,6.0,3566.0,8,6881.0,6.0,3689.0,7.0,3821.0,6.0,3900.0,8,5127.0,5.0,3496.0,8,5853,4.0,2592.0,8,6620.0
서울특별시 강남구 개포4동,4.0,1721.0,4,1950.0,4.0,1732.0,4.0,1694.0,4.0,1686.0,4,2022.0,4.0,2014.0,4,1995,4.0,1995.0,4,1970.0
서울특별시 강남구 논현1동,1.0,339.0,1,235.0,1.0,326.0,1.0,309.0,1.0,315.0,1,290.0,1.0,277.0,1,266,1.0,259.0,1,248.0
서울특별시 강남구 논현2동,2.0,788.0,2,776.0,2.0,797.0,2.0,775.0,2.0,774.0,2,815.0,2.0,810.0,2,816,2.0,814.0,2,798.0
서울특별시 강남구 대치1동,1.0,593.0,5,4659.0,1.0,582.0,4.0,3622.0,2.0,823.0,5,4723.0,2.0,859.0,5,4561,2.0,902.0,5,4532.0
서울특별시 강남구 대치2동,3.0,2351.0,5,5337.0,3.0,2419.0,4.0,3777.0,3.0,2542.0,5,4919.0,3.0,2526.0,5,5061,2.0,1698.0,5,5050.0
서울특별시 강남구 대치4동,1.0,882.0,1,940.0,1.0,919.0,1.0,943.0,,,1,954.0,1.0,985.0,1,937,1.0,970.0,1,879.0
서울특별시 강남구 도곡1동,3.0,1937.0,4,3371.0,3.0,1900.0,4.0,3590.0,3.0,1960.0,4,3613.0,3.0,1977.0,4,3525,3.0,1934.0,4,3376.0
서울특별시 강남구 도곡2동,2.0,1379.0,5,5684.0,2.0,1378.0,4.0,4603.0,3.0,2403.0,5,5734.0,3.0,2459.0,5,5644,3.0,2472.0,5,5626.0
서울특별시 강남구 삼성1동,3.0,946.0,4,1910.0,3.0,1041.0,3.0,998.0,3.0,990.0,4,2094.0,3.0,995.0,4,2026,3.0,943.0,4,1960.0
서울특별시 강남구 삼성2동,2.0,1497.0,2,1468.0,2.0,1494.0,2.0,1519.0,2.0,1533.0,2,1565.0,2.0,1548.0,2,1515,2.0,1494.0,2,1490.0
서울특별시 강남구 세곡동,5.0,4203.0,6,4950.0,5.0,4123.0,6.0,5316.0,4.0,3131.0,6,5285.0,5.0,4156.0,6,5098,5.0,4044.0,6,4885.0
서울특별시 강남구 수서동,4.0,1907.0,4,1661.0,4.0,1881.0,4.0,1887.0,4.0,1848.0,4,1837.0,4.0,1806.0,4,1773,4.0,1730.0,4,1707.0
서울특별시 강남구 신사동,2.0,961.0,3,1873.0,2.0,972.0,2.0,957.0,2.0,970.0,3,1954.0,2.0,905.0,3,1932,2.0,892.0,3,1890.0
서울특별시 강남구 압구정동,4.0,1981.0,5,2576.0,4.0,1928.0,5.0,2880.0,4.0,1867.0,5,2845.0,5.0,2799.0,5,2764,5.0,2705.0,5,2630.0
서울특별시 강남구 역삼1동,1.0,338.0,1,322.0,1.0,335.0,1.0,337.0,1.0,352.0,1,362.0,1.0,373.0,1,364,1.0,363.0,1,326.0
