행정동코드,시군구명,읍면동명,법정동코드,동리명
1100000000,,,1100000000,서울특별시
1111000000,종로구,,1111000000,종로구
1111051500,종로구,청운효자동,1111010100,청운동
1111051500,종로구,청운효자동,1111010200,신교동
1111051500,종로구,청운효자동,1111010300,궁정동
1111051500,종로구,청운효자동,1111010400,효자동
1111051500,종로구,청운효자동,1111010500,창성동
1111051500,종로구,청운효자동,1111010800,통인동
1111051500,종로구,청운효자동,1111010900,누상동
1111051500,종로구,청운효자동,1111011000,누하동
1111051500,종로구,청운효자동,1111011100,옥인동
1111051500,종로구,청운효자동,1111011900,세종로
1111053000,종로구,사직동,1111010600,통의동
1111053000,종로구,사직동,1111010700,적선동
1111053000,종로구,사직동,1111011200,체부동
1111053000,종로구,사직동,1111011300,필운동
1111053000,종로구,사직동,1111011400,내자동
1111053000,종로구,사직동,1111011500,사직동
1111053000,종로구,사직동,1111011600,도렴동
1111053000,종로구,사직동,1111011700,당주동
1111053000,종로구,사직동,1111011800,내수동
1111053000,종로구,사직동,1111011900,세종로
1111053000,종로구,사직동,1111012000,신문로1가
1111053000,종로구,사직동,1111012100,신문로2가
1111054000,종로구,삼청동,1111013900,팔판동
1111054000,종로구,삼청동,1111014000,삼청동
1111054000,종로구,삼청동,1111014100,안국동
1111054000,종로구,삼청동,1111014200,소격동
1111054000,종로구,삼청동,1111014300,화동
1111054000,종로구,삼청동,1111014400,사간동
1111054000,종로구,삼청동,1111014500,송현동
1111055000,종로구,부암동,1111018400,부암동
1111055000,종로구,부암동,1111018500,홍지동
1111055000,종로구,부암동,1111018600,신영동
1111056000,종로구,평창동,1111018200,구기동
1111056000,종로구,평창동,1111018300,평창동
1111057000,종로구,무악동,1111018700,무악동
1111058000,종로구,교남동,1111017600,교남동
1111058000,종로구,교남동,1111017700,평동
1111058000,종로구,교남동,1111017800,송월동
1111058000,종로구,교남동,1111017900,홍파동
1111058000,종로구,교남동,1111018000,교북동
1111058000,종로구,교남동,1111018100,행촌동
1111060000,종로구,가회동,1111014600,가회동
1111060000,종로구,가회동,1111014700,재동
1111060000,종로구,가회동,1111014800,계동
1111060000,종로구,가회동,1111014900,원서동
1111061500,종로구,종로1.2.3.4가동,1111011900,세종로
1111061500,종로구,종로1.2.3.4가동,1111012200,청진동
1111061500,종로구,종로1.2.3.4가동,1111012300,서린동
1111061500,종로구,종로1.2.3.4가동,1111012400,수송동
1111061500,종로구,종로1.2.3.4가동,1111012500,중학동
1111061500,종로구,종로1.2.3.4가동,1111012600,종로1가
1111061500,종로구,종로1.2.3.4가동,1111012700,공평동
1111061500,종로구,종로1.2.3.4가동,1111012800,관훈동
1111061500,종로구,종로1.2.3.4가동,1111012900,견지동
1111061500,종로구,종로1.2.3.4가동,1111013000,와룡동
1111061500,종로구,종로1.2.3.4가동,1111013100,권농동
1111061500,종로구,종로1.2.3.4가동,1111013200,운니동
1111061500,종로구,종로1.2.3.4가동,1111013300,익선동
1111061500,종로구,종로1.2.3.4가동,1111013400,경운동
1111061500,종로구,종로1.2.3.4가동,1111013500,관철동
1111061500,종로구,종로1.2.3.4가동,1111013600,인사동
1111061500,종로구,종로1.2.3.4가동,1111013700,낙원동
1111061500,종로구,종로1.2.3.4가동,1111013800,종로2가
1111061500,종로구,종로1.2.3.4가동,1111015000,훈정동
1111061500,종로구,종로1.2.3.4가동,1111015100,묘동
1111061500,종로구,종로1.2.3.4가동,1111015200,봉익동
1111061500,종로구,종로1.2.3.4가동,1111015300,돈의동
1111061500,종로구,종로1.2.3.4가동,1111015400,장사동
1111061500,종로구,종로1.2.3.4가동,1111015500,관수동
1111061500,종로구,종로1.2.3.4가동,1111015600,종로3가
1111061500,종로구,종로1.2.3.4가동,1111015700,인의동
1111061500,종로구,종로1.2.3.4가동,1111015800,예지동
1111061500,종로구,종로1.2.3.4가동,1111015900,원남동
1111061500,종로구,종로1.2.3.4가동,1111016100,종로4가
1111063000,종로구,종로5.6가동,1111016000,연지동
1111063000,종로구,종로5.6가동,1111016200,효제동
1111063000,종로구,종로5.6가동,1111016300,종로5가
1111063000,종로구,종로5.6가동,1111016400,종로6가
1111063000,종로구,종로5.6가동,1111016700,충신동
1111064000,종로구,이화동,1111016500,이화동
1111064000,종로구,이화동,1111016600,연건동
1111064000,종로구,이화동,1111016800,동숭동
1111065000,종로구,혜화동,1111013000,와룡동
1111065000,종로구,혜화동,1111016900,혜화동
1111065000,종로구,혜화동,1111017000,명륜1가
1111065000,종로구,혜화동,1111017100,명륜2가
1111065000,종로구,혜화동,1111017200,명륜4가
1111065000,종로구,혜화동,1111017300,명륜3가
1111067000,종로구,창신제1동,1111017400,창신동
1111068000,종로구,창신제2동,1111017400,창신동
1111069000,종로구,창신제3동,1111017400,창신동
1111070000,종로구,숭인제1동,1111017500,숭인동
1111071000,종로구,숭인제2동,1111017500,숭인동
1114000000,중구,,1114000000,중구
1114052000,중구,소공동,1114011100,소공동
1114052000,중구,소공동,1114011300,북창동
1114052000,중구,소공동,1114011400,태평로2가
1114052000,중구,소공동,1114011500,남대문로2가
1114052000,중구,소공동,1114011600,남대문로3가
1114052000,중구,소공동,1114011700,남대문로4가
1114052000,중구,소공동,1114011900,봉래동1가
1114052000,중구,소공동,1114016600,서소문동
1114052000,중구,소공동,1114016700,정동
1114052000,중구,소공동,1114016800,순화동
1114052000,중구,소공동,1114016900,의주로1가
1114052000,중구,소공동,1114017000,충정로1가
1114054000,중구,회현동,1114011200,남창동
1114054000,중구,회현동,1114011600,남대문로3가
1114054000,중구,회현동,1114011700,남대문로4가
1114054000,중구,회현동,1114011800,남대문로5가
1114054000,중구,회현동,1114011900,봉래동1가
1114054000,중구,회현동,1114012000,봉래동2가
1114054000,중구,회현동,1114012100,회현동1가
1114054000,중구,회현동,1114012200,회현동2가
1114054000,중구,회현동,1114012400,충무로1가
1114054000,중구,회현동,1114016800,순화동
