행정동,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214,20221,20222,20223,20224,20231,20232,20233,20234,20241,20242
가락1동,20186,26063,27207,27716,28032,28065,27977,27876,27403,27484,27406,27365,27548,27560,27481,27521,27611,27711,27670,27673,27552,27616
가락2동,34155,33999,33915,33920,33776,33503,33258,33204,32971,32808,32662,32406,31946,31822,31738,31670,31573,31507,31450,31386,31341,31249
가락본동,27962,27966,27910,27876,27833,27715,27491,27368,27128,26887,26740,26523,26317,26214,26024,25883,25788,25709,25617,25489,25380,25313
가리봉동,16188,15917,15518,15250,15181,15062,14750,14263,13447,13363,13161,13091,13060,12990,12699,12653,12662,12623,12478,12458,12347,12342
가산동,24638,24522,24497,24455,24732,24830,25762,25973,25863,25937,25956,26179,26363,26539,26619,26569,26631,27043,27166,27152,27468,27425
가양1동,33804,34090,34199,34154,34147,34187,34515,34540,34445,34398,34331,34395,34435,34457,34408,34359,34370,34357,34255,34145,33989,33905
가양2동,15562,15413,15301,15140,15032,14961,14782,14588,14341,14283,14214,14109,13971,14061,13983,13902,13847,13706,13599,13539,13465,13406
가양3동,16467,16445,16277,16199,16101,15976,15778,15583,15415,15346,15267,15138,15004,14924,14743,14678,14560,14505,14321,14207,14114,14058
가회동,4512,4472,4487,4488,4464,4453,4422,4418,4297,4305,4259,4194,4152,4137,4086,4065,4084,4031,3986,3972,3939,3915
갈현1동,25069,24862,24768,24536,24318,23952,23630,23396,23018,22803,22483,22077,21768,21441,20223,17151,15401,14993,14820,14644,14526,14453
갈현2동,30545,30354,30235,30150,30001,29710,29484,29239,28941,28868,28725,28547,28374,28307,28226,28176,28106,27963,27817,27714,27655,27637
강일동,32669,32535,32377,32127,31982,31866,32421,35778,40855,42105,42792,43182,43201,44913,45068,44990,45100,44972,44682,46069,47704,48483
개봉1동,34548,34446,34177,33835,33402,33028,34985,35239,35169,34945,34694,34560,34433,34358,34232,34105,34139,34100,34067,33907,33696,33560
개봉2동,33576,33561,33428,33036,32786,32560,32413,32218,31823,31585,31467,31314,31144,30967,30910,30665,30511,30572,30382,30158,30009,29951
개봉3동,22123,22184,22176,22005,21894,21899,21467,21284,20931,20729,20648,20590,20602,20570,20353,20251,20216,20224,20136,19985,19880,19821
개포1동,7272,7076,7028,6920,6890,6853,6787,6670,6560,6500,6432,6489,6982,7021,6928,6922,6912,6891,6909,11907,23264,25323
개포2동,15551,18188,19915,22049,22510,22540,22471,22297,22166,21939,26893,27945,28240,28170,28276,29032,34192,38873,40944,41804,41861,41972
개포4동,18697,18550,18485,18405,18282,18216,18391,22765,23868,23917,23893,23870,23790,23761,23763,23639,23614,23570,23597,23384,23267,23245
거여1동,13337,13277,13273,13221,13163,13183,13108,13077,12855,12769,12732,12614,12454,12407,12316,12255,12260,12183,12113,12100,12002,11936
거여2동,17173,17163,17047,16921,16852,16779,19218,19330,19128,19091,18965,18806,22819,23501,23664,23745,23746,23805,23696,23653,23569,23536
고덕1동,27360,27405,27334,27079,26753,26536,26423,26103,25500,25208,24919,24417,24074,23935,23850,23919,23937,23981,24040,24070,23979,23943
고덕2동,7521,7349,7419,19345,21130,21306,21906,22568,22657,22630,22539,22329,22545,22645,22696,22764,22904,22890,22928,22942,24481,25109
고척1동,24510,24427,24293,24182,24080,23966,23682,23547,23169,23006,22839,22657,22389,22178,22039,25636,26193,26525,26614,26690,26822,26938
