년분기,행정동,업종명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20191,청운효자동,한식음식점,82,2,2,1
20191,청운효자동,중식음식점,4,0,0,0
20191,청운효자동,일식음식점,13,0,0,0
20191,청운효자동,양식음식점,36,3,3,0
20191,청운효자동,제과점,16,1,0,2
20191,청운효자동,패스트푸드점,8,0,0,2
20191,청운효자동,치킨전문점,2,0,1,1
20191,청운효자동,분식전문점,30,1,2,0
20191,청운효자동,호프-간이주점,11,0,1,0
20191,청운효자동,커피-음료,69,5,2,1
20191,청운효자동,일반교습학원,14,1,1,0
20191,청운효자동,외국어학원,2,0,1,0
20191,청운효자동,예술학원,12,0,1,0
20191,청운효자동,스포츠 강습,4,0,0,0
20191,청운효자동,일반의원,3,0,1,0
20191,청운효자동,치과의원,3,0,0,0
20191,청운효자동,한의원,2,0,0,0
20191,청운효자동,당구장,1,0,0,0
20191,청운효자동,골프연습장,1,0,0,0
20191,청운효자동,PC방,1,0,0,0
20191,청운효자동,자동차수리,1,0,0,0
20191,청운효자동,자동차미용,2,0,0,0
20191,청운효자동,미용실,10,1,0,0
20191,청운효자동,네일숍,1,0,0,0
20191,청운효자동,피부관리실,5,1,0,0
20191,청운효자동,세탁소,2,1,2,3
20191,청운효자동,가전제품수리,4,0,0,0
20191,청운효자동,부동산중개업,38,0,2,0
20191,청운효자동,여관,3,0,0,0
20191,청운효자동,고시원,3,1,0,0
20191,청운효자동,노래방,2,0,0,0
20191,청운효자동,슈퍼마켓,27,1,2,0
20191,청운효자동,편의점,2,0,0,10
20191,청운효자동,컴퓨터및주변장치판매,2,0,0,0
20191,청운효자동,핸드폰,2,0,0,0
20191,청운효자동,미곡판매,2,0,0,0
20191,청운효자동,육류판매,8,0,2,0
20191,청운효자동,수산물판매,5,0,0,0
20191,청운효자동,청과상,5,0,0,0
20191,청운효자동,반찬가게,13,1,0,0
20191,청운효자동,일반의류,58,3,1,0
20191,청운효자동,신발,10,0,0,1
20191,청운효자동,가방,4,0,0,0
20191,청운효자동,안경,2,0,0,1
20191,청운효자동,시계및귀금속,4,0,0,0
20191,청운효자동,의약품,11,0,0,0
20191,청운효자동,의료기기,1,0,0,0
20191,청운효자동,서적,11,0,0,0
20191,청운효자동,문구,5,0,0,0
20191,청운효자동,화장품,16,0,0,0
20191,청운효자동,운동/경기용품,1,0,0,0
20191,청운효자동,완구,1,0,0,0
20191,청운효자동,섬유제품,10,0,0,0
20191,청운효자동,화초,12,0,0,0
20191,청운효자동,애완동물,2,0,0,0
20191,청운효자동,가구,2,0,0,0
20191,청운효자동,가전제품,3,0,0,0
20191,청운효자동,철물점,2,0,0,0
20191,청운효자동,인테리어,8,0,0,0
20191,청운효자동,조명용품,5,1,0,0
20191,청운효자동,전자상거래업,29,1,0,0
20191,사직동,한식음식점,373,18,18,34
20191,사직동,중식음식점,26,1,1,1
20191,사직동,일식음식점,50,2,3,8
20191,사직동,양식음식점,71,5,3,7
20191,사직동,제과점,17,0,1,8
20191,사직동,패스트푸드점,21,0,0,8
20191,사직동,치킨전문점,5,1,0,6
20191,사직동,분식전문점,92,4,4,8
20191,사직동,호프-간이주점,65,3,6,9
20191,사직동,커피-음료,99,5,4,38
20191,사직동,일반교습학원,23,1,4,0
20191,사직동,외국어학원,8,0,0,0
20191,사직동,예술학원,4,0,0,1
20191,사직동,스포츠 강습,16,0,0,1
20191,사직동,일반의원,27,0,0,0
20191,사직동,치과의원,27,1,2,0
20191,사직동,한의원,19,1,1,0
20191,사직동,당구장,14,0,0,0
20191,사직동,골프연습장,0,0,0,1
20191,사직동,PC방,1,0,0,0
20191,사직동,스포츠클럽,5,1,1,0
20191,사직동,자동차수리,5,0,0,1
20191,사직동,자동차미용,1,0,0,0
20191,사직동,미용실,22,0,1,1
20191,사직동,네일숍,11,1,0,0
20191,사직동,피부관리실,18,1,1,3
20191,사직동,세탁소,13,0,0,1
20191,사직동,가전제품수리,1,0,0,0
20191,사직동,부동산중개업,100,6,0,0
20191,사직동,여관,8,0,0,0
20191,사직동,고시원,4,3,0,0
20191,사직동,노래방,13,0,0,0
20191,사직동,슈퍼마켓,55,2,1,2
20191,사직동,편의점,1,0,0,28
20191,사직동,컴퓨터및주변장치판매,27,0,0,0
20191,사직동,핸드폰,12,1,0,0
20191,사직동,미곡판매,10,1,0,0
20191,사직동,육류판매,3,0,0,0
20191,사직동,수산물판매,4,0,0,0
20191,사직동,청과상,6,0,1,0
20191,사직동,반찬가게,26,2,2,0
20191,사직동,일반의류,76,1,2,0
20191,사직동,신발,5,0,0,0
20191,사직동,가방,9,0,0,0
20191,사직동,안경,8,0,0,1
20191,사직동,시계및귀금속,54,0,2,0
20191,사직동,의약품,21,0,0,1
20191,사직동,의료기기,6,0,0,0
20191,사직동,서적,28,0,1,0
20191,사직동,문구,25,0,0,7
20191,사직동,화장품,54,3,1,21
20191,사직동,운동/경기용품,10,0,0,0
20191,사직동,완구,2,0,0,0
20191,사직동,섬유제품,5,0,0,0
20191,사직동,화초,37,1,1,0
20191,사직동,애완동물,2,1,0,0
20191,사직동,가구,4,0,0,0
20191,사직동,가전제품,4,0,1,0
20191,사직동,철물점,6,0,0,0
20191,사직동,인테리어,7,0,0,0
20191,사직동,조명용품,23,2,0,0
20191,사직동,전자상거래업,51,1,1,0
20191,삼청동,한식음식점,76,1,4,3
20191,삼청동,중식음식점,2,1,0,0
20191,삼청동,일식음식점,4,0,0,0
20191,삼청동,양식음식점,42,0,0,2
20191,삼청동,제과점,13,3,0,4
20191,삼청동,패스트푸드점,5,0,0,3
20191,삼청동,치킨전문점,1,0,0,0
20191,삼청동,분식전문점,28,1,2,4
20191,삼청동,호프-간이주점,4,0,0,1
20191,삼청동,커피-음료,62,4,4,13
20191,삼청동,외국어학원,1,0,0,0
20191,삼청동,예술학원,1,0,0,0
20191,삼청동,스포츠 강습,1,0,0,0
20191,삼청동,일반의원,1,0,0,0
20191,삼청동,치과의원,3,0,0,0
20191,삼청동,한의원,3,0,0,0
20191,삼청동,당구장,2,0,0,0
20191,삼청동,스포츠클럽,1,0,0,0
20191,삼청동,피부관리실,1,0,0,0
20191,삼청동,세탁소,1,0,0,0
20191,삼청동,부동산중개업,12,0,0,0
20191,삼청동,여관,2,0,1,0
20191,삼청동,고시원,2,0,0,0
20191,삼청동,슈퍼마켓,26,2,4,0
20191,삼청동,편의점,0,1,0,7
20191,삼청동,컴퓨터및주변장치판매,2,0,0,0
20191,삼청동,미곡판매,2,0,0,0
20191,삼청동,육류판매,2,0,0,0
20191,삼청동,청과상,1,0,0,0
20191,삼청동,반찬가게,14,1,0,0
20191,삼청동,일반의류,64,1,3,0
20191,삼청동,신발,8,0,0,0
20191,삼청동,가방,11,0,0,0
20191,삼청동,시계및귀금속,9,0,1,0
20191,삼청동,의약품,4,0,0,0
20191,삼청동,서적,2,0,0,0
20191,삼청동,문구,2,0,0,0
20191,삼청동,화장품,15,1,0,7
20191,삼청동,운동/경기용품,1,0,0,0
20191,삼청동,자전거 및 기타운송장비,1,0,0,0
20191,삼청동,완구,2,0,0,0
20191,삼청동,섬유제품,7,0,0,0
20191,삼청동,화초,12,0,0,0
20191,삼청동,가구,4,0,0,0
20191,삼청동,가전제품,1,0,0,0
20191,삼청동,철물점,1,0,0,0
20191,삼청동,인테리어,4,0,0,0
20191,삼청동,전자상거래업,6,1,0,0
20191,부암동,한식음식점,36,1,3,2
20191,부암동,중식음식점,6,0,0,0
20191,부암동,일식음식점,3,0,0,1
20191,부암동,양식음식점,11,1,0,0
20191,부암동,제과점,4,0,0,1
20191,부암동,패스트푸드점,7,0,0,2
20191,부암동,치킨전문점,1,0,0,1
20191,부암동,분식전문점,18,0,0,4
20191,부암동,호프-간이주점,7,0,1,0
20191,부암동,커피-음료,15,1,1,5
20191,부암동,일반교습학원,20,2,0,3
20191,부암동,외국어학원,3,1,0,0
20191,부암동,예술학원,4,0,0,0
20191,부암동,스포츠 강습,3,0,0,0
20191,부암동,치과의원,3,0,0,0
20191,부암동,한의원,2,0,0,0
20191,부암동,당구장,1,0,0,0
20191,부암동,골프연습장,1,0,0,0
20191,부암동,PC방,0,0,0,1
20191,부암동,자동차수리,6,0,0,1
20191,부암동,자동차미용,2,0,0,0
20191,부암동,미용실,8,0,0,0
20191,부암동,피부관리실,2,0,0,0
20191,부암동,세탁소,7,0,0,2
20191,부암동,가전제품수리,1,0,0,0
20191,부암동,부동산중개업,26,1,0,0
20191,부암동,여관,2,0,0,0
20191,부암동,노래방,1,0,1,0
20191,부암동,슈퍼마켓,12,1,3,0
20191,부암동,편의점,2,0,1,12
20191,부암동,컴퓨터및주변장치판매,1,0,0,0
20191,부암동,핸드폰,2,0,0,0
20191,부암동,미곡판매,2,0,0,0
20191,부암동,수산물판매,1,0,0,0
20191,부암동,청과상,1,0,0,0
20191,부암동,반찬가게,6,1,0,0
20191,부암동,일반의류,27,1,1,0
20191,부암동,가방,2,0,0,0
20191,부암동,시계및귀금속,1,0,0,0
20191,부암동,의약품,4,0,0,0
20191,부암동,의료기기,1,0,0,0
20191,부암동,서적,5,0,0,0
20191,부암동,문구,3,0,0,1
20191,부암동,화장품,7,0,0,0
20191,부암동,운동/경기용품,1,0,0,0
20191,부암동,자전거 및 기타운송장비,1,0,0,0
20191,부암동,섬유제품,3,0,0,0
20191,부암동,화초,8,1,0,0
20191,부암동,애완동물,4,0,0,0
20191,부암동,가구,2,0,0,0
20191,부암동,가전제품,2,0,0,0
20191,부암동,철물점,2,0,0,0
20191,부암동,인테리어,5,0,1,0
20191,부암동,조명용품,2,0,0,0
20191,부암동,전자상거래업,32,3,1,0
20191,평창동,한식음식점,61,2,1,6
20191,평창동,중식음식점,5,0,0,0
20191,평창동,일식음식점,5,0,0,0
