"동별","구분별","항목","단위","2023. 1/4","2023. 2/4","2023. 3/4","2023. 4/4",
"합계","전체인구","고령자현황(동별)","","9668008","9659322","9655918","9638799",
"합계","남자","고령자현황(동별)","","4672170","4664900","4660459","4649446",
"합계","여자","고령자현황(동별)","","4995838","4994422","4995459","4989353",
"합계","65세이상 인구","고령자현황(동별)","","1690961","1706138","1725801","1743696",
"합계","남자","고령자현황(동별)","","749867","756516","765251","773032",
"합계","여자","고령자현황(동별)","","941094","949622","960550","970664",
"합계","내국인","고령자현황(동별)","","1680154","1695486","1715409","1733580",
"합계","남자","고령자현황(동별)","","744200","750913","759781","767705",
"합계","여자","고령자현황(동별)","","935954","944573","955628","965875",
"합계","등록외국인","고령자현황(동별)","","10807","10652","10392","10116",
"합계","남자","고령자현황(동별)","","5667","5603","5470","5327",
"합계","여자","고령자현황(동별)","","5140","5049","4922","4789",
"종로구","전체인구","고령자현황(동별)","","152212","151349","151127","150453",
"종로구","남자","고령자현황(동별)","","72819","72433","72222","71890",
"종로구","여자","고령자현황(동별)","","79393","78916","78905","78563",
"종로구","65세이상 인구","고령자현황(동별)","","28265","28383","28610","28764",
"종로구","남자","고령자현황(동별)","","12736","12805","12920","12997",
"종로구","여자","고령자현황(동별)","","15529","15578","15690","15767",
"종로구","내국인","고령자현황(동별)","","27957","28071","28326","28500",
"종로구","남자","고령자현황(동별)","","12570","12637","12771","12857",
"종로구","여자","고령자현황(동별)","","15387","15434","15555","15643",
"종로구","등록외국인","고령자현황(동별)","","308","312","284","264",
"종로구","남자","고령자현황(동별)","","166","168","149","140",
"종로구","여자","고령자현황(동별)","","142","144","135","124",
"사직동","전체인구","고령자현황(동별)","","9371","9362","9326","9273",
"사직동","남자","고령자현황(동별)","","4203","4187","4179","4147",
"사직동","여자","고령자현황(동별)","","5168","5175","5147","5126",
"사직동","65세이상 인구","고령자현황(동별)","","1832","1854","1866","1869",
"사직동","남자","고령자현황(동별)","","808","807","816","814",
"사직동","여자","고령자현황(동별)","","1024","1047","1050","1055",
"사직동","내국인","고령자현황(동별)","","1808","1830","1841","1852",
"사직동","남자","고령자현황(동별)","","792","791","800","803",
"사직동","여자","고령자현황(동별)","","1016","1039","1041","1049",
"사직동","등록외국인","고령자현황(동별)","","24","24","25","17",
"사직동","남자","고령자현황(동별)","","16","16","16","11",
