"동별","구분별","항목","단위","2022. 1/4","2022. 2/4","2022. 3/4","2022. 4/4",
"합계","전체인구","고령자현황(동별)","","9732617","9725417","9682126","9667669",
"합계","남자","고령자현황(동별)","","4716704","4709476","4685860","4675560",
"합계","여자","고령자현황(동별)","","5015913","5015941","4996266","4992109",
"합계","65세이상 인구","고령자현황(동별)","","1628980","1641813","1650367","1667411",
"합계","남자","고령자현황(동별)","","722149","727517","731465","739300",
"합계","여자","고령자현황(동별)","","906831","914296","918902","928111",
"합계","내국인","고령자현황(동별)","","1619507","1632410","1641023","1658207",
"합계","남자","고령자현황(동별)","","717165","722568","726525","734417",
"합계","여자","고령자현황(동별)","","902342","909842","914498","923790",
"합계","등록외국인","고령자현황(동별)","","9473","9403","9344","9204",
"합계","남자","고령자현황(동별)","","4984","4949","4940","4883",
"합계","여자","고령자현황(동별)","","4489","4454","4404","4321",
"종로구","전체인구","고령자현황(동별)","","153684","153255","151999","152211",
"종로구","남자","고령자현황(동별)","","74018","73689","72917","72980",
"종로구","여자","고령자현황(동별)","","79666","79566","79082","79231",
"종로구","65세이상 인구","고령자현황(동별)","","28064","28170","27787","27958",
"종로구","남자","고령자현황(동별)","","12562","12640","12494","12592",
"종로구","여자","고령자현황(동별)","","15502","15530","15293","15366",
"종로구","내국인","고령자현황(동별)","","27824","27931","27540","27704",
"종로구","남자","고령자현황(동별)","","12428","12504","12355","12448",
"종로구","여자","고령자현황(동별)","","15396","15427","15185","15256",
"종로구","등록외국인","고령자현황(동별)","","240","239","247","254",
"종로구","남자","고령자현황(동별)","","134","136","139","144",
"종로구","여자","고령자현황(동별)","","106","103","108","110",
"사직동","전체인구","고령자현황(동별)","","9630","9572","9379","9355",
"사직동","남자","고령자현황(동별)","","4335","4300","4178","4191",
"사직동","여자","고령자현황(동별)","","5295","5272","5201","5164",
"사직동","65세이상 인구","고령자현황(동별)","","1787","1798","1782","1808",
"사직동","남자","고령자현황(동별)","","780","783","772","790",
"사직동","여자","고령자현황(동별)","","1007","1015","1010","1018",
"사직동","내국인","고령자현황(동별)","","1769","1779","1761","1787",
"사직동","남자","고령자현황(동별)","","768","770","758","776",
"사직동","여자","고령자현황(동별)","","1001","1009","1003","1011",
"사직동","등록외국인","고령자현황(동별)","","18","19","21","21",
"사직동","남자","고령자현황(동별)","","12","13","14","14",
"사직동","여자","고령자현황(동별)","","6","6","7","7",
"삼청동","전체인구","고령자현황(동별)","","2741","2692","2659","2642",
"삼청동","남자","고령자현황(동별)","","1312","1278","1268","1263",
