"동별","구분별","항목","단위","2024. 1/4","2024. 2/4",
"합계","전체인구","고령자현황(동별)","","9635445","9619861",
"합계","남자","고령자현황(동별)","","4644729","4634458",
"합계","여자","고령자현황(동별)","","4990716","4985403",
"합계","65세이상 인구","고령자현황(동별)","","1768948","1785286",
"합계","남자","고령자현황(동별)","","784392","791721",
"합계","여자","고령자현황(동별)","","984556","993565",
"합계","내국인","고령자현황(동별)","","1757310","1773809",
"합계","남자","고령자현황(동별)","","778273","785670",
"합계","여자","고령자현황(동별)","","979037","988139",
"합계","등록외국인","고령자현황(동별)","","11638","11477",
"합계","남자","고령자현황(동별)","","6119","6051",
"합계","여자","고령자현황(동별)","","5519","5426",
"종로구","전체인구","고령자현황(동별)","","150550","150204",
"종로구","남자","고령자현황(동별)","","71861","71684",
"종로구","여자","고령자현황(동별)","","78689","78520",
"종로구","65세이상 인구","고령자현황(동별)","","29127","29338",
"종로구","남자","고령자현황(동별)","","13172","13278",
"종로구","여자","고령자현황(동별)","","15955","16060",
"종로구","내국인","고령자현황(동별)","","28844","29057",
"종로구","남자","고령자현황(동별)","","13022","13129",
"종로구","여자","고령자현황(동별)","","15822","15928",
"종로구","등록외국인","고령자현황(동별)","","283","281",
"종로구","남자","고령자현황(동별)","","150","149",
"종로구","여자","고령자현황(동별)","","133","132",
"사직동","전체인구","고령자현황(동별)","","9258","9249",
"사직동","남자","고령자현황(동별)","","4118","4097",
"사직동","여자","고령자현황(동별)","","5140","5152",
"사직동","65세이상 인구","고령자현황(동별)","","1893","1895",
"사직동","남자","고령자현황(동별)","","820","822",
"사직동","여자","고령자현황(동별)","","1073","1073",
"사직동","내국인","고령자현황(동별)","","1876","1878",
"사직동","남자","고령자현황(동별)","","809","811",
"사직동","여자","고령자현황(동별)","","1067","1067",
"사직동","등록외국인","고령자현황(동별)","","17","17",
"사직동","남자","고령자현황(동별)","","11","11",
"사직동","여자","고령자현황(동별)","","6","6",
"삼청동","전체인구","고령자현황(동별)","","2450","2449",
"삼청동","남자","고령자현황(동별)","","1170","1174",
"삼청동","여자","고령자현황(동별)","","1280","1275",
"삼청동","65세이상 인구","고령자현황(동별)","","648","647",
"삼청동","남자","고령자현황(동별)","","290","289",
"삼청동","여자","고령자현황(동별)","","358","358",
"삼청동","내국인","고령자현황(동별)","","624","624",
"삼청동","남자","고령자현황(동별)","","278","277",
"삼청동","여자","고령자현황(동별)","","346","347",
"삼청동","등록외국인","고령자현황(동별)","","24","23",
"삼청동","남자","고령자현황(동별)","","12","12",
"삼청동","여자","고령자현황(동별)","","12","11",
"부암동","전체인구","고령자현황(동별)","","9400","9346",
"부암동","남자","고령자현황(동별)","","4456","4415",
"부암동","여자","고령자현황(동별)","","4944","4931",
"부암동","65세이상 인구","고령자현황(동별)","","1924","1939",
"부암동","남자","고령자현황(동별)","","847","853",
"부암동","여자","고령자현황(동별)","","1077","1086",
"부암동","내국인","고령자현황(동별)","","1918","1933",
"부암동","남자","고령자현황(동별)","","843","849",
"부암동","여자","고령자현황(동별)","","1075","1084",
"부암동","등록외국인","고령자현황(동별)","","6","6",
"부암동","남자","고령자현황(동별)","","4","4",
"부암동","여자","고령자현황(동별)","","2","2",
"평창동","전체인구","고령자현황(동별)","","17472","17460",
"평창동","남자","고령자현황(동별)","","8130","8107",
"평창동","여자","고령자현황(동별)","","9342","9353",
"평창동","65세이상 인구","고령자현황(동별)","","3695","3736",
"평창동","남자","고령자현황(동별)","","1620","1649",
"평창동","여자","고령자현황(동별)","","2075","2087",
"평창동","내국인","고령자현황(동별)","","3669","3710",
"평창동","남자","고령자현황(동별)","","1606","1635",
"평창동","여자","고령자현황(동별)","","2063","2075",
"평창동","등록외국인","고령자현황(동별)","","26","26",
"평창동","남자","고령자현황(동별)","","14","14",
"평창동","여자","고령자현황(동별)","","12","12",
"무악동","전체인구","고령자현황(동별)","","8007","7968",
"무악동","남자","고령자현황(동별)","","3672","3661",
"무악동","여자","고령자현황(동별)","","4335","4307",
"무악동","65세이상 인구","고령자현황(동별)","","1523","1543",
"무악동","남자","고령자현황(동별)","","646","657",
"무악동","여자","고령자현황(동별)","","877","886",
"무악동","내국인","고령자현황(동별)","","1521","1541",
"무악동","남자","고령자현황(동별)","","645","656",
"무악동","여자","고령자현황(동별)","","876","885",
"무악동","등록외국인","고령자현황(동별)","","2","2",
"무악동","남자","고령자현황(동별)","","1","1",
"무악동","여자","고령자현황(동별)","","1","1",
"교남동","전체인구","고령자현황(동별)","","9860","9851",
"교남동","남자","고령자현황(동별)","","4535","4534",
"교남동","여자","고령자현황(동별)","","5325","5317",
"교남동","65세이상 인구","고령자현황(동별)","","1721","1731",
"교남동","남자","고령자현황(동별)","","709","715",
"교남동","여자","고령자현황(동별)","","1012","1016",
"교남동","내국인","고령자현황(동별)","","1709","1719",
"교남동","남자","고령자현황(동별)","","702","708",
"교남동","여자","고령자현황(동별)","","1007","1011",
"교남동","등록외국인","고령자현황(동별)","","12","12",
"교남동","남자","고령자현황(동별)","","7","7",
"교남동","여자","고령자현황(동별)","","5","5",
"가회동","전체인구","고령자현황(동별)","","3939","3915",
"가회동","남자","고령자현황(동별)","","1842","1844",
"가회동","여자","고령자현황(동별)","","2097","2071",
"가회동","65세이상 인구","고령자현황(동별)","","862","852",
"가회동","남자","고령자현황(동별)","","364","358",
"가회동","여자","고령자현황(동별)","","498","494",
"가회동","내국인","고령자현황(동별)","","856","846",
"가회동","남자","고령자현황(동별)","","360","354",
"가회동","여자","고령자현황(동별)","","496","492",
"가회동","등록외국인","고령자현황(동별)","","6","6",
"가회동","남자","고령자현황(동별)","","4","4",
"가회동","여자","고령자현황(동별)","","2","2",
"종로1.2.3.4가동","전체인구","고령자현황(동별)","","8466","8435",
"종로1.2.3.4가동","남자","고령자현황(동별)","","4905","4904",
"종로1.2.3.4가동","여자","고령자현황(동별)","","3561","3531",
"종로1.2.3.4가동","65세이상 인구","고령자현황(동별)","","1804","1811",
"종로1.2.3.4가동","남자","고령자현황(동별)","","1100","1109",
"종로1.2.3.4가동","여자","고령자현황(동별)","","704","702",
"종로1.2.3.4가동","내국인","고령자현황(동별)","","1759","1769",
"종로1.2.3.4가동","남자","고령자현황(동별)","","1075","1085",
"종로1.2.3.4가동","여자","고령자현황(동별)","","684","684",
"종로1.2.3.4가동","등록외국인","고령자현황(동별)","","45","42",
"종로1.2.3.4가동","남자","고령자현황(동별)","","25","24",
"종로1.2.3.4가동","여자","고령자현황(동별)","","20","18",
"종로5.6가동","전체인구","고령자현황(동별)","","5807","5778",
"종로5.6가동","남자","고령자현황(동별)","","3039","3025",
"종로5.6가동","여자","고령자현황(동별)","","2768","2753",
"종로5.6가동","65세이상 인구","고령자현황(동별)","","1089","1101",
"종로5.6가동","남자","고령자현황(동별)","","554","560",
"종로5.6가동","여자","고령자현황(동별)","","535","541",
"종로5.6가동","내국인","고령자현황(동별)","","1080","1091",
"종로5.6가동","남자","고령자현황(동별)","","550","555",
"종로5.6가동","여자","고령자현황(동별)","","530","536",
"종로5.6가동","등록외국인","고령자현황(동별)","","9","10",
