"동별","종사자규모별","항목","단위","2019 년","2020 년","2021 년","2022 년",
"합계","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","823624","1211053","1188091","1180025",
"합계","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","281318","414281","407948","405170",
"합계","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","5226997","5868926","5771226","5795425",
"합계","남","사업체현황(종사자규모별/동별)(2015년 이후)","","2885614","3304944","3218529","3208120",
"합계","여","사업체현황(종사자규모별/동별)(2015년 이후)","","2341383","2563982","2552697","2587305",
"합계","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","647823","1035971","1012310","1007238",
"합계","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","1181509","1556973","1519652","1478513",
"합계","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","104730","101106","100475","97156",
"합계","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","654989","644764","638077","619518",
"합계","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","39835","40746","41728","41447",
"합계","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","519590","534211","545530","541857",
"합계","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","19332","20333","20896","21417",
"합계","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","570763","601982","618272","633106",
"합계","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","6482","7114","7132","7034",
"합계","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","448358","492741","494586","488176",
"합계","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","3927","4173","3986","4167",
"합계","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","635698","672294","647213","671855",
"합계","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","745","786","781","744",
"합계","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","281591","296788","296116","281196",
"합계","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","436","474","449","485",
"합계","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","300178","327372","309366","334004",
"합계","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","314","350","334","337",
"합계","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","634321","741801","702414","747200",
"종로구","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","39679","50531","48361","47595",
"종로구","여성대표자","사업체현황(종사자규모별/동별)(2015년 이후)","","13356","17285","16563","16282",
"종로구","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","260446","284570","275063","278403",
"종로구","남","사업체현황(종사자규모별/동별)(2015년 이후)","","146392","162430","153210","154548",
"종로구","여","사업체현황(종사자규모별/동별)(2015년 이후)","","114054","122140","121853","123855",
"종로구","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","32592","43944","42053","41096",
"종로구","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","59798","69843","66551","63052",
"종로구","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","4438","4023","3726","3861",
"종로구","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","27270","25327","23499","24486",
"종로구","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","1485","1411","1449","1456",
"종로구","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","19256","18417","19067","19059",
"종로구","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","705","664","667","716",
"종로구","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","20315","19180","19377","21005",
"종로구","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","212","221","220","208",
"종로구","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","14629","15337","15117","14812",
"종로구","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","149","157","134","156",
"종로구","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","23877","25325","21013","25068",
"종로구","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","38","45","52","39",
"종로구","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","14478","16964","19979","15181",
"종로구","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","37","34","28","31",
"종로구","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","26140","23459","19686","21330",
"종로구","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","23","32","32","32",
"종로구","종사자수","사업체현황(종사자규모별/동별)(2015년 이후)","명","54683","70718","70774","74410",
"사직동","사업체수","사업체현황(종사자규모별/동별)(2015년 이후)","개","3574","5221","5035","4994",
