년분기,행정동코드,총생활인구
20191,11110515,383852
20191,11110530,694754
20191,11110540,157767
20191,11110550,296009
20191,11110560,463758
20191,11110570,174625
20191,11110580,166072
20191,11110600,191616
20191,11110615,1688065
20191,11110630,499309
20191,11110640,610286
20191,11110650,776586
20191,11110670,309297
20191,11110680,236336
20191,11110690,98121
20191,11110700,198860
20191,11110710,373810
20191,11140520,781708
20191,11140540,717176
20191,11140550,992518
20191,11140570,373786
20191,11140580,288664
20191,11140590,560867
20191,11140605,428462
20191,11140615,629579
20191,11140625,388922
20191,11140635,379570
20191,11140645,298174
20191,11140650,265270
20191,11140665,227081
20191,11140670,319017
20191,11140680,225440
20191,11170510,348074
20191,11170520,276043
20191,11170530,447704
20191,11170555,605712
20191,11170560,424394
20191,11170570,318059
20191,11170580,239591
20191,11170590,260338
20191,11170625,1189539
20191,11170630,656586
20191,11170640,180289
20191,11170650,326557
20191,11170660,296312
20191,11170685,803921
20191,11170690,455283
20191,11170700,276684
20191,11200520,334768
20191,11200535,523441
20191,11200540,644275
20191,11200550,568602
20191,11200560,723886
20191,11200570,416392
20191,11200580,354808
20191,11200590,391823
20191,11200615,583423
20191,11200620,231660
20191,11200645,752569
20191,11200650,410638
20191,11200660,477332
20191,11200670,486132
20191,11200690,677844
20191,11200720,249976
20191,11200790,499129
20191,11215710,992616
20191,11215730,462713
20191,11215740,393323
20191,11215750,459681
20191,11215760,417990
20191,11215770,715565
20191,11215780,364783
20191,11215810,975026
20191,11215820,679907
20191,11215830,601099
20191,11215840,579552
20191,11215847,674823
20191,11215850,574436
20191,11215860,568840
20191,11215870,832837
20191,11230536,1036541
20191,11230545,861973
20191,11230560,892965
20191,11230570,410386
20191,11230600,586717
20191,11230610,575831
20191,11230650,878268
20191,11230660,689350
20191,11230705,499317
20191,11230710,512659
20191,11230720,408407
20191,11230730,492941
20191,11230740,613006
20191,11230750,433603
20191,11260520,519667
20191,11260540,442952
20191,11260550,272793
20191,11260565,770960
20191,11260570,478684
20191,11260575,527678
20191,11260580,528386
20191,11260590,653649
20191,11260600,407567
20191,11260610,668340
20191,11260620,695822
20191,11260630,481458
20191,11260655,772115
20191,11260660,333307
20191,11260680,786855
20191,11260690,455165
20191,11290525,499679
20191,11290555,717869
20191,11290575,646376
20191,11290580,422133
20191,11290590,293138
20191,11290600,648360
20191,11290610,431625
20191,11290620,371347
20191,11290630,549890
20191,11290640,418787
20191,11290650,498368
20191,11290660,788802
20191,11290685,349501
20191,11290705,926991
20191,11290715,533275
20191,11290725,668999
20191,11290760,435364
20191,11290770,337964
20191,11290780,195935
20191,11290810,681034
20191,11305534,602299
20191,11305535,558591
20191,11305545,811147
20191,11305555,684301
20191,11305575,558965
20191,11305590,509479
20191,11305600,294845
20191,11305606,382510
20191,11305610,478224
20191,11305620,522706
20191,11305630,709472
20191,11305645,440476
20191,11305660,735522
20191,11320511,554612
20191,11320512,669179
20191,11320513,317827
20191,11320514,811264
20191,11320515,630037
20191,11320521,416750
20191,11320522,497369
20191,11320660,467146
20191,11320670,451434
20191,11320680,380489
20191,11320681,356832
20191,11320690,619705
20191,11320700,366164
20191,11320710,534354
20191,11350560,631550
20191,11350570,479489
20191,11350580,623146
20191,11350595,1080223
20191,11350600,1150403
20191,11350611,711258
20191,11350612,463196
20191,11350619,530883
20191,11350621,606443
20191,11350624,479116
20191,11350625,899368
20191,11350630,935411
20191,11350640,773738
20191,11350665,507360
20191,11350670,531466
20191,11350695,1014784
20191,11350700,376908
20191,11350710,437233
20191,11350720,402026
20191,11380510,812849
20191,11380520,903149
20191,11380530,572814
20191,11380551,666922
20191,11380552,605787
20191,11380560,672323
20191,11380570,839052
20191,11380580,568553
20191,11380590,397929
20191,11380600,579423
20191,11380625,1062361
20191,11380631,599895
20191,11380632,400957
20191,11380640,283630
20191,11380650,287421
20191,11380690,1470754
20191,11410520,460281
20191,11410555,832415
20191,11410565,969920
20191,11410585,1524564
20191,11410615,1015353
20191,11410620,652560
20191,11410640,431229
20191,11410655,213926
20191,11410660,354514
20191,11410685,588140
20191,11410690,387261
20191,11410700,500767
20191,11410710,348094
20191,11410720,873009
20191,11440555,646168
20191,11440565,922472
20191,11440585,574447
20191,11440590,607445
20191,11440600,566995
20191,11440610,305703
20191,11440630,481368
20191,11440655,684150
20191,11440660,1950969
20191,11440680,578344
20191,11440690,477592
20191,11440700,450215
20191,11440710,508418
20191,11440720,506691
20191,11440730,931181
20191,11440740,1118032
20191,11470510,1164270
20191,11470520,608953
20191,11470530,494055
20191,11470540,425296
20191,11470550,1019229
20191,11470560,390058
20191,11470570,376712
20191,11470580,338978
20191,11470590,333569
20191,11470600,285907
20191,11470610,146210
20191,11470611,470271
20191,11470620,384509
20191,11470630,362029
20191,11470640,916035
20191,11470650,845394
20191,11470670,457925
20191,11470680,598537
20191,11500510,780955
20191,11500520,477619
20191,11500530,388581
20191,11500535,774092
20191,11500540,1199395
