년분기,행정동코드,총생활인구
20191,11110515,13696
20191,11110530,34150
20191,11110540,13939
20191,11110550,5804
20191,11110560,2861
20191,11110570,617
20191,11110580,1063
20191,11110600,13122
20191,11110615,132624
20191,11110630,22081
20191,11110640,11640
20191,11110650,18396
20191,11110670,18996
20191,11110680,3281
20191,11110690,290
20191,11110700,3644
20191,11110710,26712
20191,11140520,167927
20191,11140540,149152
20191,11140550,404078
20191,11140570,57967
20191,11140580,51346
20191,11140590,185472
20191,11140605,75629
20191,11140615,34437
20191,11140625,7063
20191,11140635,1815
20191,11140645,1907
20191,11140650,4641
20191,11140665,2057
20191,11140670,5004
20191,11140680,17966
20191,11170510,14390
20191,11170520,10107
20191,11170530,23308
20191,11170555,22058
20191,11170560,3207
20191,11170570,3052
20191,11170580,1037
20191,11170590,1033
20191,11170625,31673
20191,11170630,4968
20191,11170640,890
20191,11170650,31676
20191,11170660,15027
20191,11170685,39934
20191,11170690,8481
20191,11170700,3722
20191,11200520,1396
20191,11200535,4811
20191,11200540,3800
20191,11200550,6761
20191,11200560,3214
20191,11200570,1000
20191,11200580,897
20191,11200590,1030
20191,11200615,1933
20191,11200620,603
20191,11200645,2978
20191,11200650,1810
20191,11200660,1992
20191,11200670,2640
20191,11200690,5978
20191,11200720,1348
20191,11200790,4670
20191,11215710,10563
20191,11215730,3592
20191,11215740,1575
20191,11215750,1383
20191,11215760,838
20191,11215770,1449
20191,11215780,3093
20191,11215810,10209
20191,11215820,3443
20191,11215830,1803
20191,11215840,4998
20191,11215847,10456
20191,11215850,1867
20191,11215860,1376
20191,11215870,3617
20191,11230536,22499
20191,11230545,7413
20191,11230560,9446
20191,11230570,1219
20191,11230600,2583
20191,11230610,2950
20191,11230650,14086
20191,11230660,2863
20191,11230705,5207
20191,11230710,8511
20191,11230720,3698
20191,11230730,2345
20191,11230740,8017
20191,11230750,1913
20191,11260520,659
20191,11260540,657
20191,11260550,852
20191,11260565,1131
20191,11260570,734
20191,11260575,1078
20191,11260580,1526
20191,11260590,1885
20191,11260600,514
20191,11260610,1346
20191,11260620,1412
20191,11260630,1251
20191,11260655,1452
20191,11260660,521
20191,11260680,1478
20191,11260690,594
20191,11290525,4301
20191,11290555,3517
20191,11290575,11462
20191,11290580,838
20191,11290590,1012
20191,11290600,10774
20191,11290610,2414
20191,11290620,832
20191,11290630,1656
20191,11290640,5158
20191,11290650,1737
20191,11290660,1111
20191,11290685,2028
20191,11290705,5099
20191,11290715,2482
20191,11290725,2411
20191,11290760,726
20191,11290770,804
20191,11290780,410
20191,11290810,1941
20191,11305534,698
20191,11305535,2084
20191,11305545,3786
20191,11305555,1307
20191,11305575,981
20191,11305590,2119
20191,11305600,454
20191,11305606,316
20191,11305610,756
20191,11305620,1983
20191,11305630,1978
20191,11305645,1802
20191,11305660,1444
20191,11320511,1337
20191,11320512,1216
20191,11320513,665
20191,11320514,1281
20191,11320515,1090
20191,11320521,776
20191,11320522,773
20191,11320660,864
20191,11320670,701
20191,11320680,887
20191,11320681,445
20191,11320690,1282
20191,11320700,785
20191,11320710,551
20191,11350560,1539
20191,11350570,965
20191,11350580,1189
20191,11350595,1939
20191,11350600,2762
20191,11350611,2439
20191,11350612,963
20191,11350619,746
20191,11350621,687
20191,11350624,398
20191,11350625,1693
20191,11350630,1347
20191,11350640,1618
20191,11350665,972
20191,11350670,889
20191,11350695,2458
20191,11350700,691
20191,11350710,566
20191,11350720,1406
20191,11380510,2380
20191,11380520,4941
20191,11380530,1234
20191,11380551,1517
20191,11380552,1756
20191,11380560,1426
20191,11380570,3404
20191,11380580,1765
20191,11380590,937
20191,11380600,1925
20191,11380625,1727
20191,11380631,1090
20191,11380632,1647
20191,11380640,693
20191,11380650,1438
20191,11380690,3214
20191,11410520,2305
20191,11410555,117023
20191,11410565,65837
20191,11410585,64482
20191,11410615,12722
20191,11410620,2944
20191,11410640,795
20191,11410655,889
20191,11410660,1199
20191,11410685,6407
20191,11410690,1079
20191,11410700,2550
20191,11410710,1712
20191,11410720,2188
20191,11440555,10309
20191,11440565,19653
20191,11440585,9849
20191,11440590,15350
20191,11440600,16677
20191,11440610,4356
20191,11440630,5129
20191,11440655,14924
20191,11440660,243905
20191,11440680,14071
20191,11440690,2754
20191,11440700,1963
20191,11440710,41493
20191,11440720,9037
20191,11440730,4637
20191,11440740,10022
20191,11470510,4492
20191,11470520,2109
20191,11470530,1625
20191,11470540,805
20191,11470550,2678
20191,11470560,1470
20191,11470570,1055
20191,11470580,753
20191,11470590,685
20191,11470600,877
20191,11470610,315
20191,11470611,601
20191,11470620,885
20191,11470630,1132
20191,11470640,1993
20191,11470650,2584
20191,11470670,1178
20191,11470680,1435
20191,11500510,13475
20191,11500520,3052
20191,11500530,936
20191,11500535,4103
20191,11500540,8972
20191,11500550,1060
20191,11500560,1171
20191,11500570,865
20191,11500590,1676
20191,11500591,2247
20191,11500593,9155
20191,11500603,15599
20191,11500604,889
20191,11500605,1578
20191,11500611,4245
20191,11500615,3559
20191,11500620,36059
20191,11500630,3836
20191,11500640,94306
20191,11500641,2048
20191,11530510,7314
20191,11530520,1518
20191,11530530,16372
20191,11530540,21471
20191,11530550,9950
20191,11530560,8994
20191,11530595,12146
20191,11530720,5798
20191,11530730,1454
20191,11530740,6627
20191,11530750,1919
20191,11530760,960
20191,11530770,10492
20191,11530780,6709
20191,11530790,1706
20191,11545510,14792
20191,11545610,8184
20191,11545620,4187
20191,11545630,5726
20191,11545640,4388
20191,11545670,3908
20191,11545680,955
20191,11545690,644
20191,11545700,1352
20191,11545710,1341
20191,11560515,7003
20191,11560535,27743
20191,11560540,46950
20191,11560550,2295
20191,11560560,19656
20191,11560585,3852
20191,11560605,10217
20191,11560610,4006
20191,11560620,5961
20191,11560630,5929
20191,11560650,2889
20191,11560660,2067
20191,11560670,1994
20191,11560680,3386
20191,11560690,1670
20191,11560700,5676
20191,11560710,17802
20191,11560720,13693
20191,11590510,4013
20191,11590520,2381
20191,11590530,5929
20191,11590540,1740
20191,11590550,1431
20191,11590560,1111
20191,11590605,14048
20191,11590620,3024
20191,11590630,2867
20191,11590640,1091
20191,11590650,665
20191,11590651,583
20191,11590660,2535
20191,11590670,4350
20191,11590680,2020
20191,11620525,1700
20191,11620545,728
20191,11620565,1535
20191,11620575,1490
20191,11620585,5255
20191,11620595,3716
20191,11620605,2158
20191,11620615,1280
20191,11620625,1322
20191,11620630,1716
20191,11620645,2197
20191,11620655,2166
20191,11620665,1252
20191,11620685,4391
20191,11620695,5411
20191,11620715,882
20191,11620725,12142
20191,11620735,4615
20191,11620745,1300
20191,11620765,3393
20191,11620775,1119
20191,11650510,6640
20191,11650520,22333
20191,11650530,10520
20191,11650531,23055
20191,11650540,11207
20191,11650550,858
20191,11650560,7940
20191,11650570,5056
20191,11650580,2603
20191,11650581,22563
20191,11650590,2244
20191,11650600,3333
20191,11650610,2275
20191,11650620,2342
20191,11650621,2347
20191,11650651,5867
20191,11650652,8219
20191,11650660,2052
20191,11680510,43160
20191,11680521,45376
20191,11680531,20898
20191,11680545,20573
20191,11680565,25598
20191,11680580,79715
20191,11680590,19874
20191,11680600,1679
20191,11680610,20841
20191,11680630,12558
20191,11680640,91875
20191,11680650,12532
20191,11680655,4498
20191,11680656,5010
20191,11680660,917
20191,11680670,1132
20191,11680690,1540
20191,11680700,3833
20191,11680720,2697
20191,11680730,2591
20191,11680740,874
20191,11680750,2360
20191,11710510,1505
20191,11710520,4067
20191,11710531,1004
20191,11710532,609
20191,11710540,648
20191,11710550,595
20191,11710561,1595
20191,11710562,7772
20191,11710566,6758
20191,11710570,2409
20191,11710580,3109
20191,11710590,1372
20191,11710600,3508
20191,11710610,2689
20191,11710620,4048
20191,11710631,1772
20191,11710632,1925
20191,11710641,1729
20191,11710642,6142
20191,11710646,2023
20191,11710647,2286
20191,11710650,6024
20191,11710670,5196
20191,11710680,36899
20191,11710690,3574
20191,11710710,22825
20191,11710720,2798
20191,11740515,1223
20191,11740520,2112
20191,11740530,1476
20191,11740540,1848
20191,11740550,849
20191,11740560,1030
20191,11740570,1970
20191,11740580,1388
20191,11740590,991
20191,11740600,2288
20191,11740610,3339
20191,11740620,1962
20191,11740640,1326
20191,11740650,1739
20191,11740660,2428
20191,11740685,3283
20191,11740690,494
20191,11740700,1316
20192,11110515,17897
20192,11110530,37933
20192,11110540,16150
20192,11110550,5096
20192,11110560,3883
20192,11110570,606
20192,11110580,1501
20192,11110600,15365
20192,11110615,134185
20192,11110630,25094
20192,11110640,12717
20192,11110650,12502
20192,11110670,18806
20192,11110680,3067
20192,11110690,251
20192,11110700,3098
20192,11110710,23630
20192,11140520,172067
20192,11140540,140631
20192,11140550,379223
20192,11140570,54349
20192,11140580,56813
20192,11140590,172109
20192,11140605,70447
20192,11140615,34179
20192,11140625,4596
20192,11140635,1471
20192,11140645,1775
20192,11140650,3743
20192,11140665,1820
20192,11140670,4008
20192,11140680,15115
