년분기,행정동코드,총생활인구
20191,11110515,8122
20191,11110530,29603
20191,11110540,7342
20191,11110550,10722
20191,11110560,10785
20191,11110570,2239
20191,11110580,3969
20191,11110600,7576
20191,11110615,64446
20191,11110630,27562
20191,11110640,24895
20191,11110650,95699
20191,11110670,38972
20191,11110680,43637
20191,11110690,3490
20191,11110700,12804
20191,11110710,24355
20191,11140520,47385
20191,11140540,54971
20191,11140550,100885
20191,11140570,35992
20191,11140580,38424
20191,11140590,71420
20191,11140605,15827
20191,11140615,86422
20191,11140625,21688
20191,11140635,10251
20191,11140645,7863
20191,11140650,21899
20191,11140665,10880
20191,11140670,32632
20191,11140680,9988
20191,11170510,21331
20191,11170520,31717
20191,11170530,58619
20191,11170555,29240
20191,11170560,18987
20191,11170570,5922
20191,11170580,7892
20191,11170590,6003
20191,11170625,75194
20191,11170630,36006
20191,11170640,4511
20191,11170650,50678
20191,11170660,54722
20191,11170685,88477
20191,11170690,25974
20191,11170700,27294
20191,11200520,9529
20191,11200535,21581
20191,11200540,28227
20191,11200550,62169
20191,11200560,31136
20191,11200570,5591
20191,11200580,5337
20191,11200590,16633
20191,11200615,17635
20191,11200620,5882
20191,11200645,21577
20191,11200650,14166
20191,11200660,20550
20191,11200670,38095
20191,11200690,32349
20191,11200720,16955
20191,11200790,44081
20191,11215710,121622
20191,11215730,45010
20191,11215740,13654
20191,11215750,12524
20191,11215760,8840
20191,11215770,12386
20191,11215780,18565
20191,11215810,18703
20191,11215820,63383
20191,11215830,19519
20191,11215840,18447
20191,11215847,146793
20191,11215850,26242
20191,11215860,13688
20191,11215870,18171
20191,11230536,55394
20191,11230545,71888
20191,11230560,25674
20191,11230570,11278
20191,11230600,16963
20191,11230610,11189
20191,11230650,46205
20191,11230660,17094
20191,11230705,23445
20191,11230710,77342
20191,11230720,46549
20191,11230730,18949
20191,11230740,98040
20191,11230750,13485
20191,11260520,7917
20191,11260540,9536
20191,11260550,5828
20191,11260565,20552
20191,11260570,10040
20191,11260575,11557
20191,11260580,5074
20191,11260590,15647
20191,11260600,5193
20191,11260610,17817
20191,11260620,5316
20191,11260630,8062
20191,11260655,9852
20191,11260660,6357
20191,11260680,6265
20191,11260690,2845
20191,11290525,19961
20191,11290555,20256
20191,11290575,24850
20191,11290580,6442
20191,11290590,3597
20191,11290600,63370
20191,11290610,16730
20191,11290620,5402
20191,11290630,8843
20191,11290640,29278
20191,11290650,8207
20191,11290660,7167
20191,11290685,6151
20191,11290705,50983
20191,11290715,8267
20191,11290725,20492
20191,11290760,4759
20191,11290770,7962
20191,11290780,4586
20191,11290810,22251
20191,11305534,6362
20191,11305535,12000
20191,11305545,22067
20191,11305555,18873
20191,11305575,3640
20191,11305590,12340
20191,11305600,2936
20191,11305606,2473
20191,11305610,6422
20191,11305620,4810
20191,11305630,16092
20191,11305645,5448
20191,11305660,9128
20191,11320511,6767
20191,11320512,8482
20191,11320513,3701
20191,11320514,6058
20191,11320515,5708
20191,11320521,4866
20191,11320522,3839
20191,11320660,4647
20191,11320670,4962
20191,11320680,5758
20191,11320681,1333
20191,11320690,6945
20191,11320700,5034
20191,11320710,3435
20191,11350560,18326
20191,11350570,4624
20191,11350580,5708
20191,11350595,14011
20191,11350600,21632
