Shift,Model,Scaler,index,train_r2,test_r2,train_mse,test_mse,train_mae_ratio,test_mae_ratio,test_mae_ratio_max,test_mae_ratio_min,test_mae_ratio_mean,train_mae,test_mae,train_rmse,test_rmse
3,ElasticNet,MinMax,의료_건강,0.04,0.04,1.0080237689206285e+17,9.95126923501822e+16,41.51,41.47,110.05,41.47,73.88888888888889,204268800.31,203255764.24,317493900.56,315456324.0
3,ElasticNet,MinMax,식음료,0.08,0.07,2.1061899566213564e+16,2.242168229113408e+16,44.73,44.67,110.05,41.47,73.88888888888889,105522851.31,105686582.22,145127184.1,149738713.4
3,ElasticNet,MinMax,소매_편의,0.03,0.03,1.579135328692024e+17,1.3905198696268269e+17,50.53,49.71,110.05,41.47,73.88888888888889,224477644.17,222876120.28,397383357.56,372896751.08
3,ElasticNet,MinMax,생활서비스,0.03,0.03,2.225780559402212e+16,2.5282720045494004e+16,63.44,66.39,110.05,41.47,73.88888888888889,93128306.15,97375535.54,149190501.02,159005408.86
3,ElasticNet,MinMax,교육_학원,0.04,0.04,1650521808298684.8,2326195752334794.5,73.17,73.0,110.05,41.47,73.88888888888889,27666667.74,29116502.07,40626614.53,48230651.59
3,ElasticNet,MinMax,미용_패션,0.03,0.03,2.1409132624919684e+16,1.715550962266547e+16,87.39,86.45,110.05,41.47,73.88888888888889,76873981.68,71910489.02,146318599.72,130979042.68
3,ElasticNet,MinMax,취미_레저,0.02,0.02,6.990910555283214e+16,8.373447232826691e+16,88.45,88.14,110.05,41.47,73.88888888888889,106693008.88,112250208.72,264403300.95,289369093.6
3,ElasticNet,MinMax,가구_전자기기,0.03,0.03,3.722276547176905e+16,3.970501054239264e+16,104.32,105.12,110.05,41.47,73.88888888888889,111713195.56,114547721.44,192932022.93,199261161.65
3,ElasticNet,MinMax,부동산_숙박,0.17,0.16,635453006396752.9,752897599638724.5,113.49,110.05,110.05,41.47,73.88888888888889,12952064.28,13393944.47,25208193.24,27438979.57
3,ElasticNet,Standard,의료_건강,0.89,0.88,1.194041522157838e+16,1.2162066261178496e+16,13.55,13.93,46.39,13.93,27.156666666666663,66683763.04,68264464.74,109272207.0,110281758.52
